### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.21801 |    0.00667
      0.00 |          16.43 |  1.09330 |    0.00649
      0.00 |          22.86 |  1.08207 |    0.00815
      0.00 |          29.29 |  1.19659 |    0.00738
      0.00 |          35.71 |  1.17968 |    0.00719
      0.00 |          42.14 |  1.18260 |    0.00841
      0.00 |          48.57 |  1.16703 |    0.00835
      0.00 |          55.00 |  1.04338 |    0.00824
      0.00 |          61.43 |  1.14195 |    0.00705
      0.00 |          67.86 |  1.13370 |    0.00631
      0.00 |          74.29 |  1.01540 |    0.00755
      0.00 |          80.71 |  0.99517 |    0.00784
      0.00 |          87.14 |  0.99659 |    0.00791
      0.00 |          93.57 |  1.09427 |    0.00693
      0.00 |         100.00 |  1.07800 |    0.00639
      2.78 |          10.00 |  1.47366 |    0.00845
      2.78 |          16.43 |  1.46097 |    0.01022
      2.78 |          22.86 |  1.45028 |    0.00826
      2.78 |          29.29 |  1.44258 |    0.00732
      2.78 |          35.71 |  1.43439 |    0.00790
      2.78 |          42.14 |  1.42430 |    0.00788
      2.78 |          48.57 |  1.40616 |    0.00893
      2.78 |          55.00 |  1.39191 |    0.00968
      2.78 |          61.43 |  1.38051 |    0.00917
      2.78 |          67.86 |  1.36565 |    0.00883
      2.78 |          74.29 |  1.35693 |    0.00890
      2.78 |          80.71 |  1.35265 |    0.00918
      2.78 |          87.14 |  1.33990 |    0.00876
      2.78 |          93.57 |  1.33130 |    0.00850
      2.78 |         100.00 |  1.32129 |    0.00820
      5.56 |          10.00 |  1.66704 |    0.01003
      5.56 |          16.43 |  1.65307 |    0.01235
      5.56 |          22.86 |  1.64328 |    0.00963
      5.56 |          29.29 |  1.63768 |    0.00923
      5.56 |          35.71 |  1.63200 |    0.01003
      5.56 |          42.14 |  1.61767 |    0.00959
      5.56 |          48.57 |  1.60449 |    0.01098
      5.56 |          55.00 |  1.59788 |    0.01045
      5.56 |          61.43 |  1.58979 |    0.01096
      5.56 |          67.86 |  1.58243 |    0.01169
      5.56 |          74.29 |  1.57386 |    0.01119
      5.56 |          80.71 |  1.56455 |    0.01164
      5.56 |          87.14 |  1.55354 |    0.01144
      5.56 |          93.57 |  1.53997 |    0.01177
      5.56 |         100.00 |  1.52231 |    0.01030
      8.33 |          10.00 |  1.79680 |    0.01029
      8.33 |          16.43 |  1.78014 |    0.00954
      8.33 |          22.86 |  1.77177 |    0.01019
      8.33 |          29.29 |  1.76954 |    0.01001
      8.33 |          35.71 |  1.76669 |    0.00916
