### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.62955 |    0.00777
      0.00 |          20.00 |  1.73188 |    0.00738
      0.00 |          30.00 |  1.46849 |    0.00669
      0.00 |          40.00 |  1.55246 |    0.00731
      0.00 |          50.00 |  1.46798 |    0.00704
      0.00 |          60.00 |  1.37938 |    0.00693
      0.00 |          70.00 |  1.31138 |    0.00704
      0.00 |          80.00 |  1.24242 |    0.00758
      0.00 |          90.00 |  1.16600 |    0.00721
      0.00 |         100.00 |  0.98991 |    0.00722
      2.78 |          10.00 |  1.97531 |    0.00972
      2.78 |          20.00 |  1.86932 |    0.00945
      2.78 |          30.00 |  1.79919 |    0.00844
      2.78 |          40.00 |  1.72769 |    0.00793
      2.78 |          50.00 |  1.64702 |    0.00726
      2.78 |          60.00 |  1.57354 |    0.00780
      2.78 |          70.00 |  1.50305 |    0.00748
      2.78 |          80.00 |  1.44200 |    0.00829
      2.78 |          90.00 |  1.38057 |    0.00796
      2.78 |         100.00 |  1.32057 |    0.00789
      5.56 |          10.00 |  2.06036 |    0.00862
      5.56 |          20.00 |  1.98992 |    0.00891
      5.56 |          30.00 |  1.93158 |    0.00871
      5.56 |          40.00 |  1.87504 |    0.00907
      5.56 |          50.00 |  1.81507 |    0.00887
      5.56 |          60.00 |  1.74512 |    0.00896
      5.56 |          70.00 |  1.68739 |    0.00948
      5.56 |          80.00 |  1.63123 |    0.00945
      5.56 |          90.00 |  1.58862 |    0.00938
      5.56 |         100.00 |  1.53161 |    0.00940
      8.33 |          10.00 |  2.13927 |    0.00858
      8.33 |          20.00 |  2.07084 |    0.01025
      8.33 |          30.00 |  2.01476 |    0.01058
      8.33 |          40.00 |  1.96529 |    0.01074
      8.33 |          50.00 |  1.92081 |    0.01037
      8.33 |          60.00 |  1.87149 |    0.01032
      8.33 |          70.00 |  1.83031 |    0.01085
      8.33 |          80.00 |  1.78153 |    0.01059
      8.33 |          90.00 |  1.74363 |    0.01205
      8.33 |         100.00 |  1.70818 |    0.01117
     11.11 |          10.00 |  2.16823 |    0.01074
     11.11 |          20.00 |  2.12211 |    0.01160
     11.11 |          30.00 |  2.07250 |    0.01090
     11.11 |          40.00 |  2.03694 |    0.01165
     11.11 |          50.00 |  2.00421 |    0.01053
     11.11 |          60.00 |  1.95848 |    0.01067
     11.11 |          70.00 |  1.91580 |    0.01090
     11.11 |          80.00 |  1.88588 |    0.01125
     11.11 |          90.00 |  1.85925 |    0.01133
     11.11 |         100.00 |  1.83243 |    0.01157
     13.89 |          10.00 |  2.15378 |    0.01166
     13.89 |          20.00 |  2.13033 |    0.01252
     13.89 |          30.00 |  2.09845 |    0.01123
     13.89 |          40.00 |  2.06135 |    0.01277
     13.89 |          50.00 |  2.03702 |    0.01267
     13.89 |          60.00 |  2.00772 |    0.01236
     13.89 |          70.00 |  1.97757 |    0.01204
     13.89 |          80.00 |  1.94551 |    0.01227
     13.89 |          90.00 |  1.91974 |    0.01184
     13.89 |         100.00 |  1.90323 |    0.01152
     16.67 |          10.00 |  2.09799 |    0.00976
     16.67 |          20.00 |  2.07615 |    0.01006
     16.67 |          30.00 |  2.05546 |    0.01199
     16.67 |          40.00 |  2.04225 |    0.01192
     16.67 |          50.00 |  2.01203 |    0.01093
     16.67 |          60.00 |  1.99426 |    0.01044
     16.67 |          70.00 |  1.96987 |    0.01023
     16.67 |          80.00 |  1.95175 |    0.01013
     16.67 |          90.00 |  1.93647 |    0.01073
     16.67 |         100.00 |  1.91316 |    0.01024
     19.44 |          10.00 |  2.02807 |    0.01186
     19.44 |          20.00 |  2.01814 |    0.01089
     19.44 |          30.00 |  1.99447 |    0.01205
     19.44 |          40.00 |  1.96935 |    0.01049
     19.44 |          50.00 |  1.94678 |    0.01041
     19.44 |          60.00 |  1.93117 |    0.01106
     19.44 |          70.00 |  1.91305 |    0.01076
     19.44 |          80.00 |  1.90200 |    0.01131
     19.44 |          90.00 |  1.88479 |    0.01163
     19.44 |         100.00 |  1.86946 |    0.01048
     22.22 |          10.00 |  1.92206 |    0.01179
     22.22 |          20.00 |  1.90517 |    0.01187
     22.22 |          30.00 |  1.89808 |    0.01186
     22.22 |          40.00 |  1.88805 |    0.01037
     22.22 |          50.00 |  1.87695 |    0.01194
     22.22 |          60.00 |  1.86017 |    0.01091
     22.22 |          70.00 |  1.84182 |    0.00996
     22.22 |          80.00 |  1.83071 |    0.01015
     22.22 |          90.00 |  1.81773 |    0.00959
     22.22 |         100.00 |  1.80710 |    0.00941
     25.00 |          10.00 |  1.76299 |    0.01150
     25.00 |          20.00 |  1.75656 |    0.01235
     25.00 |          30.00 |  1.75724 |    0.01222
     25.00 |          40.00 |  1.74481 |    0.01200
     25.00 |          50.00 |  1.73597 |    0.01194
     25.00 |          60.00 |  1.71839 |    0.01134
     25.00 |          70.00 |  1.70648 |    0.01134
     25.00 |          80.00 |  1.69874 |    0.01083
     25.00 |          90.00 |  1.69024 |    0.01102
     25.00 |         100.00 |  1.68306 |    0.01083

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      8.61 |          10.00 |  2.14274 |    0.00949
      8.61 |          11.00 |  2.13464 |    0.01027
      8.61 |          12.00 |  2.12486 |    0.01059
      8.61 |          13.00 |  2.11895 |    0.01116
      8.61 |          14.00 |  2.11320 |    0.01112
      9.61 |          10.00 |  2.15018 |    0.00963
      9.61 |          11.00 |  2.14523 |    0.00960
      9.61 |          12.00 |  2.13418 |    0.00944
      9.61 |          13.00 |  2.12466 |    0.00994
      9.61 |          14.00 |  2.12328 |    0.01012
     10.61 |          10.00 |  2.16368 |    0.01086
     10.61 |          11.00 |  2.15692 |    0.01036
     10.61 |          12.00 |  2.15019 |    0.01114
     10.61 |          13.00 |  2.14481 |    0.01185
     10.61 |          14.00 |  2.13893 |    0.01207
     11.61 |          10.00 |  2.16347 |    0.01169
     11.61 |          11.00 |  2.15740 |    0.01080
     11.61 |          12.00 |  2.15594 |    0.01117
     11.61 |          13.00 |  2.14880 |    0.01184
     11.61 |          14.00 |  2.14343 |    0.01162
     12.61 |          10.00 |  2.17010 |    0.00956
     12.61 |          11.00 |  2.16816 |    0.00927
     12.61 |          12.00 |  2.16685 |    0.00987
     12.61 |          13.00 |  2.15712 |    0.01031
     12.61 |          14.00 |  2.15018 |    0.01066

### TBR Summary Statistics:
Maximum TBR for Li: 2.17010
Optimal breeder width: 12.61 cm
Optimal lithium enrichment: 10.00 %

Mean TBR: 1.88982
Median TBR: 1.92206
