### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  0.96338 |    0.00604
      0.00 |          20.00 |  0.87724 |    0.00617
      0.00 |          30.00 |  0.97184 |    0.00653
      0.00 |          40.00 |  0.94822 |    0.00648
      0.00 |          50.00 |  0.93185 |    0.00650
      0.00 |          60.00 |  0.92062 |    0.00570
      0.00 |          70.00 |  0.91757 |    0.00625
      0.00 |          80.00 |  0.89433 |    0.00567
      0.00 |          90.00 |  0.88766 |    0.00689
      0.00 |         100.00 |  0.86192 |    0.00697
      2.78 |          10.00 |  1.23399 |    0.00818
      2.78 |          20.00 |  1.24897 |    0.00920
      2.78 |          30.00 |  1.24120 |    0.00824
      2.78 |          40.00 |  1.22620 |    0.00661
      2.78 |          50.00 |  1.20864 |    0.00627
      2.78 |          60.00 |  1.19321 |    0.00782
      2.78 |          70.00 |  1.18664 |    0.00780
      2.78 |          80.00 |  1.16621 |    0.00818
      2.78 |          90.00 |  1.15218 |    0.00721
      2.78 |         100.00 |  1.13901 |    0.00782
      5.56 |          10.00 |  1.44713 |    0.00888
      5.56 |          20.00 |  1.46099 |    0.00817
      5.56 |          30.00 |  1.46638 |    0.00754
      5.56 |          40.00 |  1.45991 |    0.00789
      5.56 |          50.00 |  1.44693 |    0.00712
      5.56 |          60.00 |  1.43075 |    0.00783
      5.56 |          70.00 |  1.42143 |    0.00854
      5.56 |          80.00 |  1.40975 |    0.01018
      5.56 |          90.00 |  1.40649 |    0.00920
      5.56 |         100.00 |  1.39539 |    0.00992
      8.33 |          10.00 |  1.61025 |    0.01051
      8.33 |          20.00 |  1.63420 |    0.01014
      8.33 |          30.00 |  1.62105 |    0.00921
      8.33 |          40.00 |  1.63011 |    0.00957
      8.33 |          50.00 |  1.62601 |    0.00989
      8.33 |          60.00 |  1.61834 |    0.00935
      8.33 |          70.00 |  1.61082 |    0.00885
      8.33 |          80.00 |  1.59542 |    0.01030
      8.33 |          90.00 |  1.59378 |    0.00950
      8.33 |         100.00 |  1.58108 |    0.00985
     11.11 |          10.00 |  1.72441 |    0.01150
     11.11 |          20.00 |  1.75616 |    0.01053
     11.11 |          30.00 |  1.75525 |    0.00986
     11.11 |          40.00 |  1.76471 |    0.01057
     11.11 |          50.00 |  1.75374 |    0.00946
     11.11 |          60.00 |  1.74859 |    0.01003
     11.11 |          70.00 |  1.74309 |    0.01094
     11.11 |          80.00 |  1.74184 |    0.01004
     11.11 |          90.00 |  1.73383 |    0.01038
