### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.02134 |    0.00579
      0.00 |          20.00 |  1.35653 |    0.00750
      0.00 |          30.00 |  1.33975 |    0.00729
      0.00 |          40.00 |  1.52681 |    0.00808
      0.00 |          50.00 |  1.55919 |    0.00842
      0.00 |          60.00 |  1.58534 |    0.00757
      0.00 |          70.00 |  1.60684 |    0.00910
      0.00 |          80.00 |  1.60808 |    0.00784
      0.00 |          90.00 |  1.62696 |    0.00773
      0.00 |         100.00 |  1.45142 |    0.00822
      2.78 |          10.00 |  1.33373 |    0.00700
      2.78 |          20.00 |  1.53923 |    0.00873
      2.78 |          30.00 |  1.60928 |    0.00768
      2.78 |          40.00 |  1.66402 |    0.00881
      2.78 |          50.00 |  1.70213 |    0.00950
      2.78 |          60.00 |  1.70887 |    0.00932
      2.78 |          70.00 |  1.71693 |    0.01002
      2.78 |          80.00 |  1.73544 |    0.00970
      2.78 |          90.00 |  1.73985 |    0.00831
      2.78 |         100.00 |  1.75216 |    0.00890
      5.56 |          10.00 |  1.53047 |    0.00770
      5.56 |          20.00 |  1.68578 |    0.00834
      5.56 |          30.00 |  1.76087 |    0.00771
      5.56 |          40.00 |  1.79179 |    0.00903
      5.56 |          50.00 |  1.82249 |    0.00995
      5.56 |          60.00 |  1.82825 |    0.00954
      5.56 |          70.00 |  1.83022 |    0.01039
      5.56 |          80.00 |  1.85599 |    0.01158
      5.56 |          90.00 |  1.85622 |    0.01005
      5.56 |         100.00 |  1.85909 |    0.00974
      8.33 |          10.00 |  1.65618 |    0.00843
      8.33 |          20.00 |  1.79235 |    0.01054
      8.33 |          30.00 |  1.85504 |    0.01043
      8.33 |          40.00 |  1.87636 |    0.00921
      8.33 |          50.00 |  1.90112 |    0.00912
      8.33 |          60.00 |  1.93898 |    0.01020
      8.33 |          70.00 |  1.93939 |    0.00945
      8.33 |          80.00 |  1.94310 |    0.01092
      8.33 |          90.00 |  1.95105 |    0.00972
      8.33 |         100.00 |  1.95446 |    0.00953
     11.11 |          10.00 |  1.72175 |    0.00891
     11.11 |          20.00 |  1.84283 |    0.01018
     11.11 |          30.00 |  1.91671 |    0.00888
     11.11 |          40.00 |  1.94430 |    0.00919
     11.11 |          50.00 |  1.96162 |    0.00945
     11.11 |          60.00 |  1.97357 |    0.00850
     11.11 |          70.00 |  1.98479 |    0.00811
     11.11 |          80.00 |  1.99444 |    0.00998
     11.11 |          90.00 |  2.00228 |    0.01020
     11.11 |         100.00 |  1.99880 |    0.00987
     13.89 |          10.00 |  1.76728 |    0.00912
     13.89 |          20.00 |  1.87096 |    0.00880
     13.89 |          30.00 |  1.91928 |    0.01122
     13.89 |          40.00 |  1.95769 |    0.01009
     13.89 |          50.00 |  1.97121 |    0.01075
     13.89 |          60.00 |  1.98789 |    0.00946
     13.89 |          70.00 |  1.99473 |    0.01032
     13.89 |          80.00 |  2.00285 |    0.01090
     13.89 |          90.00 |  2.00628 |    0.00970
     13.89 |         100.00 |  2.00887 |    0.00956
     16.67 |          10.00 |  1.74421 |    0.00938
     16.67 |          20.00 |  1.84499 |    0.00856
     16.67 |          30.00 |  1.88695 |    0.01009
     16.67 |          40.00 |  1.92214 |    0.01118
     16.67 |          50.00 |  1.93901 |    0.00949
     16.67 |          60.00 |  1.95328 |    0.01015
     16.67 |          70.00 |  1.95857 |    0.00999
     16.67 |          80.00 |  1.96164 |    0.01100
     16.67 |          90.00 |  1.96551 |    0.01060
     16.67 |         100.00 |  1.97063 |    0.00996
     19.44 |          10.00 |  1.71851 |    0.00783
     19.44 |          20.00 |  1.80141 |    0.00927
     19.44 |          30.00 |  1.84104 |    0.00994
     19.44 |          40.00 |  1.86980 |    0.01071
     19.44 |          50.00 |  1.88468 |    0.01056
