### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  0.97959 |    0.00582
      0.00 |          20.00 |  0.96470 |    0.00651
      0.00 |          30.00 |  0.94315 |    0.00637
      0.00 |          40.00 |  0.91932 |    0.00646
      0.00 |          50.00 |  0.79893 |    0.00712
      0.00 |          60.00 |  0.78388 |    0.00654
      0.00 |          70.00 |  0.84759 |    0.00601
      0.00 |          80.00 |  0.74015 |    0.00562
      0.00 |          90.00 |  0.79868 |    0.00570
      0.00 |         100.00 |  0.78230 |    0.00583
      2.78 |          10.00 |  1.28450 |    0.00815
      2.78 |          20.00 |  1.25707 |    0.00781
      2.78 |          30.00 |  1.21694 |    0.00933
      2.78 |          40.00 |  1.19576 |    0.00800
      2.78 |          50.00 |  1.17946 |    0.00768
      2.78 |          60.00 |  1.15622 |    0.00698
      2.78 |          70.00 |  1.14239 |    0.00730
      2.78 |          80.00 |  1.12095 |    0.00667
      2.78 |          90.00 |  1.09667 |    0.00636
      2.78 |         100.00 |  1.07086 |    0.00699
      5.56 |          10.00 |  1.50763 |    0.00795
      5.56 |          20.00 |  1.47491 |    0.00766
      5.56 |          30.00 |  1.46625 |    0.00809
      5.56 |          40.00 |  1.44403 |    0.00863
      5.56 |          50.00 |  1.42778 |    0.00930
      5.56 |          60.00 |  1.40435 |    0.00927
      5.56 |          70.00 |  1.39283 |    0.00869
      5.56 |          80.00 |  1.37761 |    0.00898
      5.56 |          90.00 |  1.35491 |    0.00846
      5.56 |         100.00 |  1.32879 |    0.00839
      8.33 |          10.00 |  1.67959 |    0.00965
      8.33 |          20.00 |  1.65779 |    0.00964
      8.33 |          30.00 |  1.65415 |    0.00938
      8.33 |          40.00 |  1.63218 |    0.01043
      8.33 |          50.00 |  1.61907 |    0.01070
      8.33 |          60.00 |  1.60652 |    0.01048
      8.33 |          70.00 |  1.59021 |    0.01060
      8.33 |          80.00 |  1.57353 |    0.00960
      8.33 |          90.00 |  1.55273 |    0.00864
      8.33 |         100.00 |  1.53208 |    0.01012
     11.11 |          10.00 |  1.80114 |    0.01007
     11.11 |          20.00 |  1.79661 |    0.01063
     11.11 |          30.00 |  1.79115 |    0.01138
     11.11 |          40.00 |  1.77551 |    0.01095
     11.11 |          50.00 |  1.75587 |    0.01106
     11.11 |          60.00 |  1.74598 |    0.00942
     11.11 |          70.00 |  1.73387 |    0.00889
