### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.12973 |    0.00714
      0.00 |          20.00 |  1.30836 |    0.00818
      0.00 |          30.00 |  1.38434 |    0.00648
      0.00 |          40.00 |  1.41459 |    0.00676
      0.00 |          50.00 |  1.44969 |    0.00914
      0.00 |          60.00 |  1.46291 |    0.00762
      0.00 |          70.00 |  1.48222 |    0.00767
      0.00 |          80.00 |  1.47872 |    0.00871
      0.00 |          90.00 |  1.48743 |    0.00788
      0.00 |         100.00 |  1.48470 |    0.00838
      5.00 |          10.00 |  1.63927 |    0.00645
      5.00 |          20.00 |  1.76744 |    0.00751
      5.00 |          30.00 |  1.82679 |    0.00948
      5.00 |          40.00 |  1.85445 |    0.01012
      5.00 |          50.00 |  1.87410 |    0.00944
      5.00 |          60.00 |  1.89150 |    0.00851
      5.00 |          70.00 |  1.89369 |    0.00954
      5.00 |          80.00 |  1.89781 |    0.01039
      5.00 |          90.00 |  1.88764 |    0.01022
      5.00 |         100.00 |  1.90289 |    0.01039
     10.00 |          10.00 |  1.79872 |    0.01191
     10.00 |          20.00 |  1.91833 |    0.00948
     10.00 |          30.00 |  1.96743 |    0.00996
     10.00 |          40.00 |  1.99299 |    0.01002
     10.00 |          50.00 |  1.99405 |    0.01017
     10.00 |          60.00 |  2.00702 |    0.01112
     10.00 |          70.00 |  2.01368 |    0.00896
     10.00 |          80.00 |  2.02667 |    0.00942
     10.00 |          90.00 |  2.02450 |    0.00917
     10.00 |         100.00 |  2.01953 |    0.00969
     15.00 |          10.00 |  1.83889 |    0.00969
     15.00 |          20.00 |  1.90889 |    0.01043
     15.00 |          30.00 |  1.95404 |    0.01027
     15.00 |          40.00 |  1.98082 |    0.00972
     15.00 |          50.00 |  1.98646 |    0.01103
     15.00 |          60.00 |  1.99013 |    0.01110
     15.00 |          70.00 |  2.00606 |    0.01050
     15.00 |          80.00 |  2.01383 |    0.01097
     15.00 |          90.00 |  2.00768 |    0.01210
     15.00 |         100.00 |  2.00418 |    0.01103
     20.00 |          10.00 |  1.74397 |    0.01138
     20.00 |          20.00 |  1.80349 |    0.01059
     20.00 |          30.00 |  1.83847 |    0.01133
     20.00 |          40.00 |  1.84983 |    0.01035
     20.00 |          50.00 |  1.85857 |    0.01195
     20.00 |          60.00 |  1.86517 |    0.01245
     20.00 |          70.00 |  1.87126 |    0.01189
     20.00 |          80.00 |  1.88418 |    0.01305
     20.00 |          90.00 |  1.89417 |    0.01241
     20.00 |         100.00 |  1.89581 |    0.01226
     25.00 |          10.00 |  1.58815 |    0.00789
     25.00 |          20.00 |  1.64618 |    0.00793
     25.00 |          30.00 |  1.66457 |    0.00856
     25.00 |          40.00 |  1.67872 |    0.00918
     25.00 |          50.00 |  1.67573 |    0.00934
     25.00 |          60.00 |  1.68674 |    0.00940
     25.00 |          70.00 |  1.68879 |    0.01035
     25.00 |          80.00 |  1.69254 |    0.01054
     25.00 |          90.00 |  1.68980 |    0.01024
     25.00 |         100.00 |  1.69301 |    0.01008

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      7.50 |          75.00 |  1.95660 |    0.01058
      7.50 |          76.00 |  1.95872 |    0.01069
      7.50 |          77.00 |  1.96053 |    0.01105
      7.50 |          78.00 |  1.95833 |    0.01073
      7.50 |          79.00 |  1.96507 |    0.01062
      7.50 |          80.00 |  1.96528 |    0.01087
      7.50 |          81.00 |  1.96550 |    0.01030
      7.50 |          82.00 |  1.96557 |    0.01004
      7.50 |          83.00 |  1.97039 |    0.01080
      7.50 |          84.00 |  1.96837 |    0.01066
      8.50 |          75.00 |  1.98911 |    0.01104
      8.50 |          76.00 |  1.98757 |    0.01135
      8.50 |          77.00 |  1.98806 |    0.01091
      8.50 |          78.00 |  1.99204 |    0.01128
      8.50 |          79.00 |  1.99613 |    0.01083
      8.50 |          80.00 |  2.00091 |    0.01083
      8.50 |          81.00 |  1.99984 |    0.01078
      8.50 |          82.00 |  1.99718 |    0.01041
      8.50 |          83.00 |  1.99487 |    0.01052
      8.50 |          84.00 |  1.99275 |    0.01049
      9.50 |          75.00 |  1.99919 |    0.00840
      9.50 |          76.00 |  1.99588 |    0.00872
      9.50 |          77.00 |  1.99578 |    0.00885
      9.50 |          78.00 |  1.99664 |    0.00856
      9.50 |          79.00 |  1.99988 |    0.00860
      9.50 |          80.00 |  1.99840 |    0.00862
      9.50 |          81.00 |  2.00169 |    0.00890
      9.50 |          82.00 |  2.00068 |    0.00884
      9.50 |          83.00 |  1.99760 |    0.00900
      9.50 |          84.00 |  1.99925 |    0.00947
     10.50 |          75.00 |  2.00337 |    0.01133
     10.50 |          76.00 |  2.00272 |    0.01196
     10.50 |          77.00 |  2.00378 |    0.01178
     10.50 |          78.00 |  2.00368 |    0.01257
     10.50 |          79.00 |  2.00443 |    0.01232
     10.50 |          80.00 |  2.00416 |    0.01220
     10.50 |          81.00 |  2.00511 |    0.01201
     10.50 |          82.00 |  2.00530 |    0.01175
     10.50 |          83.00 |  2.00743 |    0.01112
     10.50 |          84.00 |  2.00675 |    0.01106
     11.50 |          75.00 |  2.02567 |    0.01011
     11.50 |          76.00 |  2.02148 |    0.00939
     11.50 |          77.00 |  2.02754 |    0.00976
     11.50 |          78.00 |  2.03011 |    0.01006
     11.50 |          79.00 |  2.02513 |    0.01023
     11.50 |          80.00 |  2.02285 |    0.00982
     11.50 |          81.00 |  2.02508 |    0.01063
     11.50 |          82.00 |  2.02456 |    0.01051
     11.50 |          83.00 |  2.02647 |    0.01050
     11.50 |          84.00 |  2.03072 |    0.01109

### TBR Summary Statistics:
Maximum TBR for LiBaBi: 2.03072
Optimal breeder width: 11.50 cm
Optimal lithium enrichment: 84.00 %

Mean TBR: 1.88223
Median TBR: 1.96938
