### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.18448 |    0.00638
      0.00 |          20.00 |  1.31755 |    0.00723
      0.00 |          30.00 |  1.36635 |    0.00699
      0.00 |          40.00 |  1.40359 |    0.00794
      0.00 |          50.00 |  1.39942 |    0.00745
      0.00 |          60.00 |  1.41748 |    0.00841
      0.00 |          70.00 |  1.41407 |    0.00743
      0.00 |          80.00 |  1.41137 |    0.00830
      0.00 |          90.00 |  1.40365 |    0.00761
      0.00 |         100.00 |  1.39909 |    0.00755
      5.00 |          10.00 |  1.68038 |    0.00866
      5.00 |          20.00 |  1.77168 |    0.01082
      5.00 |          30.00 |  1.81047 |    0.00890
      5.00 |          40.00 |  1.81441 |    0.00956
      5.00 |          50.00 |  1.83388 |    0.01136
      5.00 |          60.00 |  1.82548 |    0.01146
      5.00 |          70.00 |  1.82183 |    0.00949
      5.00 |          80.00 |  1.81755 |    0.01001
      5.00 |          90.00 |  1.81129 |    0.00911
      5.00 |         100.00 |  1.80668 |    0.00829
     10.00 |          10.00 |  1.83997 |    0.01054
     10.00 |          20.00 |  1.91613 |    0.01203
     10.00 |          30.00 |  1.95011 |    0.01235
     10.00 |          40.00 |  1.95528 |    0.01098
     10.00 |          50.00 |  1.97322 |    0.01175
     10.00 |          60.00 |  1.96866 |    0.01191
     10.00 |          70.00 |  1.96388 |    0.01152
     10.00 |          80.00 |  1.96523 |    0.01063
     10.00 |          90.00 |  1.96266 |    0.01088
     10.00 |         100.00 |  1.96088 |    0.01076
     15.00 |          10.00 |  1.86213 |    0.00976
     15.00 |          20.00 |  1.92504 |    0.00932
     15.00 |          30.00 |  1.96521 |    0.00987
     15.00 |          40.00 |  1.96919 |    0.01039
     15.00 |          50.00 |  1.97736 |    0.00854
     15.00 |          60.00 |  1.98070 |    0.00872
     15.00 |          70.00 |  1.98109 |    0.00936
     15.00 |          80.00 |  1.97962 |    0.00932
     15.00 |          90.00 |  1.98240 |    0.00974
     15.00 |         100.00 |  1.98445 |    0.00861
     20.00 |          10.00 |  1.77395 |    0.01161
     20.00 |          20.00 |  1.82564 |    0.01255
     20.00 |          30.00 |  1.85601 |    0.01353
     20.00 |          40.00 |  1.86061 |    0.01268
     20.00 |          50.00 |  1.87015 |    0.01172
     20.00 |          60.00 |  1.87625 |    0.01254
     20.00 |          70.00 |  1.87774 |    0.01199
     20.00 |          80.00 |  1.88120 |    0.01166
     20.00 |          90.00 |  1.88111 |    0.01185
     20.00 |         100.00 |  1.88389 |    0.01131
     25.00 |          10.00 |  1.60745 |    0.00801
     25.00 |          20.00 |  1.64238 |    0.00890
     25.00 |          30.00 |  1.66665 |    0.00939
     25.00 |          40.00 |  1.67964 |    0.00899
     25.00 |          50.00 |  1.68201 |    0.00923
     25.00 |          60.00 |  1.69011 |    0.00942
     25.00 |          70.00 |  1.69908 |    0.01011
     25.00 |          80.00 |  1.70097 |    0.00945
     25.00 |          90.00 |  1.69682 |    0.00953
     25.00 |         100.00 |  1.69850 |    0.00947

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
     12.50 |          95.00 |  1.99336 |    0.01122
     12.50 |          96.00 |  1.99317 |    0.01089
     12.50 |          97.00 |  1.99214 |    0.01085
     12.50 |          98.00 |  1.99214 |    0.01094
     12.50 |          99.00 |  1.99122 |    0.01074
     13.50 |          95.00 |  1.99631 |    0.01020
     13.50 |          96.00 |  1.99611 |    0.01012
     13.50 |          97.00 |  1.99514 |    0.01023
     13.50 |          98.00 |  1.99458 |    0.01023
     13.50 |          99.00 |  1.99678 |    0.01006
     14.50 |          95.00 |  1.98986 |    0.01058
     14.50 |          96.00 |  1.98920 |    0.01031
     14.50 |          97.00 |  1.98886 |    0.01022
     14.50 |          98.00 |  1.99053 |    0.01051
     14.50 |          99.00 |  1.99003 |    0.01098
     15.50 |          95.00 |  1.98138 |    0.01025
     15.50 |          96.00 |  1.98246 |    0.01041
     15.50 |          97.00 |  1.98290 |    0.01047
     15.50 |          98.00 |  1.98125 |    0.01085
     15.50 |          99.00 |  1.98125 |    0.01066
     16.50 |          95.00 |  1.95744 |    0.01123
     16.50 |          96.00 |  1.95818 |    0.01130
     16.50 |          97.00 |  1.95991 |    0.01134
     16.50 |          98.00 |  1.95994 |    0.01166
     16.50 |          99.00 |  1.96037 |    0.01173

### TBR Summary Statistics:
Maximum TBR for LiCuPb: 1.99678
Optimal breeder width: 13.50 cm
Optimal lithium enrichment: 99.00 %

Mean TBR: 1.83198
Median TBR: 1.91613
