### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.13019 |    0.00712
      0.00 |          20.00 |  1.31544 |    0.00819
      0.00 |          30.00 |  1.39199 |    0.00746
      0.00 |          40.00 |  1.42829 |    0.00830
      0.00 |          50.00 |  1.45437 |    0.00808
      0.00 |          60.00 |  1.46170 |    0.00863
      0.00 |          70.00 |  1.47334 |    0.00980
      0.00 |          80.00 |  1.47096 |    0.00784
      0.00 |          90.00 |  1.47017 |    0.00910
      0.00 |         100.00 |  1.47005 |    0.00952
      5.00 |          10.00 |  1.61844 |    0.00835
      5.00 |          20.00 |  1.74345 |    0.00782
      5.00 |          30.00 |  1.80206 |    0.00948
      5.00 |          40.00 |  1.82400 |    0.00890
      5.00 |          50.00 |  1.85229 |    0.00942
      5.00 |          60.00 |  1.86343 |    0.00811
      5.00 |          70.00 |  1.86354 |    0.00930
      5.00 |          80.00 |  1.86627 |    0.00901
      5.00 |          90.00 |  1.86876 |    0.00919
      5.00 |         100.00 |  1.85678 |    0.01021
     10.00 |          10.00 |  1.79299 |    0.01004
     10.00 |          20.00 |  1.88533 |    0.00971
     10.00 |          30.00 |  1.94396 |    0.00934
     10.00 |          40.00 |  1.96589 |    0.01055
     10.00 |          50.00 |  1.97716 |    0.00894
     10.00 |          60.00 |  1.99291 |    0.00953
     10.00 |          70.00 |  1.99009 |    0.01025
     10.00 |          80.00 |  1.99071 |    0.01069
     10.00 |          90.00 |  1.99906 |    0.01153
     10.00 |         100.00 |  1.99475 |    0.01109
     15.00 |          10.00 |  1.81283 |    0.00863
     15.00 |          20.00 |  1.90196 |    0.00990
     15.00 |          30.00 |  1.93855 |    0.00832
     15.00 |          40.00 |  1.95989 |    0.01013
     15.00 |          50.00 |  1.97211 |    0.01094
     15.00 |          60.00 |  1.97031 |    0.01074
     15.00 |          70.00 |  1.97665 |    0.00991
     15.00 |          80.00 |  1.98713 |    0.01035
     15.00 |          90.00 |  1.99827 |    0.01040
     15.00 |         100.00 |  1.99717 |    0.01107
     20.00 |          10.00 |  1.73647 |    0.01032
     20.00 |          20.00 |  1.80899 |    0.01177
     20.00 |          30.00 |  1.83606 |    0.01361
     20.00 |          40.00 |  1.85181 |    0.01368
     20.00 |          50.00 |  1.86935 |    0.01241
     20.00 |          60.00 |  1.87046 |    0.01228
     20.00 |          70.00 |  1.87591 |    0.01185
     20.00 |          80.00 |  1.87974 |    0.01163
     20.00 |          90.00 |  1.88432 |    0.01119
     20.00 |         100.00 |  1.88116 |    0.01148
     25.00 |          10.00 |  1.60971 |    0.00682
     25.00 |          20.00 |  1.64274 |    0.00952
     25.00 |          30.00 |  1.65711 |    0.00941
     25.00 |          40.00 |  1.66549 |    0.00974
     25.00 |          50.00 |  1.67657 |    0.00989
     25.00 |          60.00 |  1.67924 |    0.01007
     25.00 |          70.00 |  1.68711 |    0.00975
     25.00 |          80.00 |  1.69558 |    0.00965
     25.00 |          90.00 |  1.69585 |    0.01042
     25.00 |         100.00 |  1.69935 |    0.01032

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      7.50 |          85.00 |  1.93634 |    0.01068
      7.50 |          86.00 |  1.93136 |    0.01103
      7.50 |          87.00 |  1.92898 |    0.01014
      7.50 |          88.00 |  1.93057 |    0.00967
      7.50 |          89.00 |  1.92969 |    0.00929
      7.50 |          90.00 |  1.92801 |    0.00986
      7.50 |          91.00 |  1.93331 |    0.00996
      7.50 |          92.00 |  1.93680 |    0.00950
      7.50 |          93.00 |  1.93624 |    0.00929
      7.50 |          94.00 |  1.93770 |    0.00980
      8.50 |          85.00 |  1.95677 |    0.01023
      8.50 |          86.00 |  1.95343 |    0.01034
      8.50 |          87.00 |  1.95287 |    0.01062
      8.50 |          88.00 |  1.95410 |    0.01063
      8.50 |          89.00 |  1.95356 |    0.01088
      8.50 |          90.00 |  1.95456 |    0.01026
      8.50 |          91.00 |  1.95925 |    0.01046
      8.50 |          92.00 |  1.96323 |    0.01002
      8.50 |          93.00 |  1.96636 |    0.01013
      8.50 |          94.00 |  1.96564 |    0.01029
      9.50 |          85.00 |  1.98021 |    0.01035
      9.50 |          86.00 |  1.97609 |    0.01110
      9.50 |          87.00 |  1.97557 |    0.01100
      9.50 |          88.00 |  1.97808 |    0.01086
      9.50 |          89.00 |  1.98181 |    0.01092
      9.50 |          90.00 |  1.98122 |    0.01107
      9.50 |          91.00 |  1.98753 |    0.01116
      9.50 |          92.00 |  1.98898 |    0.01070
      9.50 |          93.00 |  1.98878 |    0.01101
      9.50 |          94.00 |  1.98860 |    0.01116
     10.50 |          85.00 |  1.99459 |    0.01016
     10.50 |          86.00 |  1.99141 |    0.01051
     10.50 |          87.00 |  1.99284 |    0.01043
     10.50 |          88.00 |  1.99298 |    0.01029
     10.50 |          89.00 |  1.99401 |    0.01028
     10.50 |          90.00 |  1.99466 |    0.01005
     10.50 |          91.00 |  1.99539 |    0.01028
     10.50 |          92.00 |  1.99598 |    0.01009
     10.50 |          93.00 |  1.99859 |    0.01028
     10.50 |          94.00 |  2.00072 |    0.00997
     11.50 |          85.00 |  2.00873 |    0.01127
     11.50 |          86.00 |  2.00835 |    0.01171
     11.50 |          87.00 |  2.00759 |    0.01141
     11.50 |          88.00 |  2.01044 |    0.01149
     11.50 |          89.00 |  2.00863 |    0.01096
     11.50 |          90.00 |  2.00826 |    0.01139
     11.50 |          91.00 |  2.01339 |    0.01138
     11.50 |          92.00 |  2.01381 |    0.01121
     11.50 |          93.00 |  2.01166 |    0.01069
     11.50 |          94.00 |  2.00999 |    0.01087

### TBR Summary Statistics:
Maximum TBR for LiGaPb: 2.01381
Optimal breeder width: 11.50 cm
Optimal lithium enrichment: 92.00 %

Mean TBR: 1.86604
Median TBR: 1.94126
