### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.08818 |    0.00629
      0.00 |          20.00 |  1.14953 |    0.00874
      0.00 |          30.00 |  1.14734 |    0.00698
      0.00 |          40.00 |  1.15510 |    0.00746
      0.00 |          50.00 |  1.13524 |    0.00732
      0.00 |          60.00 |  1.11651 |    0.00763
      0.00 |          70.00 |  1.10007 |    0.00730
      0.00 |          80.00 |  1.08405 |    0.00788
      0.00 |          90.00 |  1.06327 |    0.00750
      0.00 |         100.00 |  1.04587 |    0.00768
      5.00 |          10.00 |  1.54959 |    0.00789
      5.00 |          20.00 |  1.60492 |    0.00845
      5.00 |          30.00 |  1.61482 |    0.00846
      5.00 |          40.00 |  1.61584 |    0.00836
      5.00 |          50.00 |  1.60124 |    0.00886
      5.00 |          60.00 |  1.58511 |    0.00816
      5.00 |          70.00 |  1.57817 |    0.00964
      5.00 |          80.00 |  1.55891 |    0.00992
      5.00 |          90.00 |  1.54278 |    0.00921
      5.00 |         100.00 |  1.52343 |    0.00993
     10.00 |          10.00 |  1.75449 |    0.00916
     10.00 |          20.00 |  1.80817 |    0.01024
     10.00 |          30.00 |  1.82781 |    0.00864
     10.00 |          40.00 |  1.83044 |    0.00920
     10.00 |          50.00 |  1.81688 |    0.00809
     10.00 |          60.00 |  1.80468 |    0.00783
     10.00 |          70.00 |  1.80759 |    0.00941
     10.00 |          80.00 |  1.80604 |    0.00967
     10.00 |          90.00 |  1.79047 |    0.00942
     10.00 |         100.00 |  1.77396 |    0.00971
     15.00 |          10.00 |  1.82283 |    0.01042
     15.00 |          20.00 |  1.86869 |    0.01020
     15.00 |          30.00 |  1.89281 |    0.00945
     15.00 |          40.00 |  1.89709 |    0.01117
     15.00 |          50.00 |  1.89823 |    0.01089
     15.00 |          60.00 |  1.89749 |    0.01135
     15.00 |          70.00 |  1.90250 |    0.01204
     15.00 |          80.00 |  1.89069 |    0.01181
     15.00 |          90.00 |  1.88366 |    0.01245
     15.00 |         100.00 |  1.87781 |    0.01221
     20.00 |          10.00 |  1.78095 |    0.01161
     20.00 |          20.00 |  1.82017 |    0.01123
     20.00 |          30.00 |  1.83014 |    0.00976
     20.00 |          40.00 |  1.84008 |    0.01143
     20.00 |          50.00 |  1.84428 |    0.01100
     20.00 |          60.00 |  1.84400 |    0.01082
     20.00 |          70.00 |  1.84643 |    0.01179
     20.00 |          80.00 |  1.84068 |    0.01214
     20.00 |          90.00 |  1.83106 |    0.01161
     20.00 |         100.00 |  1.82290 |    0.01227
     25.00 |          10.00 |  1.61992 |    0.00822
     25.00 |          20.00 |  1.65542 |    0.00912
     25.00 |          30.00 |  1.66626 |    0.00890
     25.00 |          40.00 |  1.67052 |    0.00957
     25.00 |          50.00 |  1.67184 |    0.00968
     25.00 |          60.00 |  1.67438 |    0.00950
     25.00 |          70.00 |  1.67598 |    0.00953
     25.00 |          80.00 |  1.67291 |    0.01015
     25.00 |          90.00 |  1.67372 |    0.01028
     25.00 |         100.00 |  1.67164 |    0.01044

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
     12.50 |          65.00 |  1.88370 |    0.01062
     12.50 |          66.00 |  1.88145 |    0.01138
     12.50 |          67.00 |  1.87764 |    0.01194
     12.50 |          68.00 |  1.87723 |    0.01220
     12.50 |          69.00 |  1.87844 |    0.01221
     12.50 |          70.00 |  1.87567 |    0.01187
     12.50 |          71.00 |  1.87400 |    0.01182
     12.50 |          72.00 |  1.87203 |    0.01129
     12.50 |          73.00 |  1.87133 |    0.01137
     12.50 |          74.00 |  1.86926 |    0.01191
     13.50 |          65.00 |  1.89626 |    0.01034
     13.50 |          66.00 |  1.89604 |    0.01058
     13.50 |          67.00 |  1.89448 |    0.01074
     13.50 |          68.00 |  1.89376 |    0.01057
     13.50 |          69.00 |  1.89521 |    0.01031
     13.50 |          70.00 |  1.89321 |    0.01027
     13.50 |          71.00 |  1.89190 |    0.01042
     13.50 |          72.00 |  1.89104 |    0.01030
     13.50 |          73.00 |  1.89257 |    0.01010
     13.50 |          74.00 |  1.89028 |    0.00998
     14.50 |          65.00 |  1.90066 |    0.01098
     14.50 |          66.00 |  1.90133 |    0.01112
     14.50 |          67.00 |  1.90125 |    0.01122
     14.50 |          68.00 |  1.90191 |    0.01131
     14.50 |          69.00 |  1.90167 |    0.01168
     14.50 |          70.00 |  1.89959 |    0.01171
     14.50 |          71.00 |  1.90095 |    0.01183
     14.50 |          72.00 |  1.90017 |    0.01147
     14.50 |          73.00 |  1.90074 |    0.01147
     14.50 |          74.00 |  1.90451 |    0.01131
     15.50 |          65.00 |  1.90492 |    0.00928
     15.50 |          66.00 |  1.90614 |    0.00961
     15.50 |          67.00 |  1.90724 |    0.01004
     15.50 |          68.00 |  1.90850 |    0.01016
     15.50 |          69.00 |  1.90658 |    0.01054
     15.50 |          70.00 |  1.90653 |    0.01044
     15.50 |          71.00 |  1.90818 |    0.01076
     15.50 |          72.00 |  1.90794 |    0.01018
     15.50 |          73.00 |  1.91006 |    0.01012
     15.50 |          74.00 |  1.91115 |    0.01035
     16.50 |          65.00 |  1.90962 |    0.01097
     16.50 |          66.00 |  1.90621 |    0.01073
     16.50 |          67.00 |  1.90780 |    0.01075
     16.50 |          68.00 |  1.90883 |    0.01090
     16.50 |          69.00 |  1.91028 |    0.01109
     16.50 |          70.00 |  1.90800 |    0.01130
     16.50 |          71.00 |  1.91149 |    0.01103
     16.50 |          72.00 |  1.91138 |    0.01111
     16.50 |          73.00 |  1.91096 |    0.01060
     16.50 |          74.00 |  1.91214 |    0.01052

### TBR Summary Statistics:
Maximum TBR for LiNaSn: 1.91214
Optimal breeder width: 16.50 cm
Optimal lithium enrichment: 74.00 %

Mean TBR: 1.75953
Median TBR: 1.87302
