### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.68230 |    0.00825
      0.00 |          20.00 |  1.71249 |    0.00755
      0.00 |          30.00 |  1.72410 |    0.00783
      0.00 |          40.00 |  1.74473 |    0.00868
      0.00 |          50.00 |  1.56770 |    0.00742
      0.00 |          60.00 |  1.71607 |    0.00781
      0.00 |          70.00 |  1.71683 |    0.00857
      0.00 |          80.00 |  1.54987 |    0.00774
      0.00 |          90.00 |  1.53547 |    0.00872
      0.00 |         100.00 |  1.51527 |    0.00931
      2.78 |          10.00 |  1.89651 |    0.00944
      2.78 |          20.00 |  1.89762 |    0.00985
      2.78 |          30.00 |  1.90404 |    0.00961
      2.78 |          40.00 |  1.89990 |    0.01048
      2.78 |          50.00 |  1.88130 |    0.01084
      2.78 |          60.00 |  1.86477 |    0.00933
      2.78 |          70.00 |  1.85857 |    0.00975
      2.78 |          80.00 |  1.84571 |    0.00997
      2.78 |          90.00 |  1.83269 |    0.01005
      2.78 |         100.00 |  1.81809 |    0.01075
      5.56 |          10.00 |  1.96219 |    0.00879
      5.56 |          20.00 |  2.00490 |    0.00819
      5.56 |          30.00 |  1.99352 |    0.00910
      5.56 |          40.00 |  1.98815 |    0.01150
      5.56 |          50.00 |  1.99124 |    0.01171
      5.56 |          60.00 |  1.96403 |    0.01094
      5.56 |          70.00 |  1.95287 |    0.01106
      5.56 |          80.00 |  1.94764 |    0.01077
      5.56 |          90.00 |  1.94280 |    0.01176
      5.56 |         100.00 |  1.93344 |    0.01114
      8.33 |          10.00 |  2.04633 |    0.00998
      8.33 |          20.00 |  2.05524 |    0.01028
      8.33 |          30.00 |  2.05593 |    0.01221
      8.33 |          40.00 |  2.05131 |    0.00975
      8.33 |          50.00 |  2.03944 |    0.01132
      8.33 |          60.00 |  2.04824 |    0.01225
      8.33 |          70.00 |  2.04145 |    0.01179
      8.33 |          80.00 |  2.02962 |    0.01101
      8.33 |          90.00 |  2.01615 |    0.01055
      8.33 |         100.00 |  2.01135 |    0.01079
     11.11 |          10.00 |  2.07304 |    0.00860
     11.11 |          20.00 |  2.09284 |    0.01143
     11.11 |          30.00 |  2.08987 |    0.01086
     11.11 |          40.00 |  2.09864 |    0.01050
     11.11 |          50.00 |  2.10116 |    0.01168
     11.11 |          60.00 |  2.10052 |    0.01049
     11.11 |          70.00 |  2.09172 |    0.01183
     11.11 |          80.00 |  2.08595 |    0.01080
     11.11 |          90.00 |  2.07709 |    0.01137
     11.11 |         100.00 |  2.07165 |    0.01075
     13.89 |          10.00 |  2.05386 |    0.01104
     13.89 |          20.00 |  2.07727 |    0.01218
     13.89 |          30.00 |  2.07371 |    0.01167
     13.89 |          40.00 |  2.07904 |    0.01160
     13.89 |          50.00 |  2.08129 |    0.01250
     13.89 |          60.00 |  2.07925 |    0.01181
     13.89 |          70.00 |  2.07678 |    0.01180
     13.89 |          80.00 |  2.07898 |    0.01034
     13.89 |          90.00 |  2.08285 |    0.00986
     13.89 |         100.00 |  2.06948 |    0.00964
     16.67 |          10.00 |  2.00668 |    0.01088
     16.67 |          20.00 |  2.02442 |    0.01001
     16.67 |          30.00 |  2.02200 |    0.01018
     16.67 |          40.00 |  2.02989 |    0.01081
     16.67 |          50.00 |  2.02066 |    0.01111
     16.67 |          60.00 |  2.03472 |    0.01058
     16.67 |          70.00 |  2.03356 |    0.00983
     16.67 |          80.00 |  2.03308 |    0.01045
     16.67 |          90.00 |  2.03324 |    0.00979
     16.67 |         100.00 |  2.02453 |    0.00978
     19.44 |          10.00 |  1.92820 |    0.01141
     19.44 |          20.00 |  1.95371 |    0.01073
     19.44 |          30.00 |  1.95747 |    0.00998
     19.44 |          40.00 |  1.96291 |    0.01035
