### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.11746 |    0.00645
      0.00 |          20.00 |  1.31066 |    0.00691
      0.00 |          30.00 |  1.38503 |    0.00984
      0.00 |          40.00 |  1.42022 |    0.00729
      0.00 |          50.00 |  1.44466 |    0.00859
      0.00 |          60.00 |  1.45111 |    0.00820
      0.00 |          70.00 |  1.47324 |    0.00892
      0.00 |          80.00 |  1.47944 |    0.00988
      0.00 |          90.00 |  1.49427 |    0.01008
      0.00 |         100.00 |  1.47959 |    0.00806
      5.00 |          10.00 |  1.60208 |    0.00670
      5.00 |          20.00 |  1.75004 |    0.00659
      5.00 |          30.00 |  1.80787 |    0.00780
      5.00 |          40.00 |  1.83442 |    0.00899
      5.00 |          50.00 |  1.85611 |    0.00997
      5.00 |          60.00 |  1.86222 |    0.00870
      5.00 |          70.00 |  1.87455 |    0.00894
      5.00 |          80.00 |  1.87124 |    0.00870
      5.00 |          90.00 |  1.87755 |    0.00802
      5.00 |         100.00 |  1.88604 |    0.00879
     10.00 |          10.00 |  1.79867 |    0.00903
     10.00 |          20.00 |  1.89910 |    0.00903
     10.00 |          30.00 |  1.93933 |    0.01030
     10.00 |          40.00 |  1.96865 |    0.01096
     10.00 |          50.00 |  1.98484 |    0.01187
     10.00 |          60.00 |  2.00281 |    0.01122
     10.00 |          70.00 |  2.00315 |    0.01071
     10.00 |          80.00 |  2.00348 |    0.01034
     10.00 |          90.00 |  2.01717 |    0.00993
     10.00 |         100.00 |  2.01912 |    0.00988
     15.00 |          10.00 |  1.80709 |    0.00930
     15.00 |          20.00 |  1.91172 |    0.01032
     15.00 |          30.00 |  1.94646 |    0.01091
     15.00 |          40.00 |  1.96593 |    0.00975
     15.00 |          50.00 |  1.96968 |    0.00996
     15.00 |          60.00 |  1.98583 |    0.01053
     15.00 |          70.00 |  1.99251 |    0.00985
     15.00 |          80.00 |  1.99876 |    0.00875
     15.00 |          90.00 |  2.00852 |    0.00997
     15.00 |         100.00 |  2.01426 |    0.00939
     20.00 |          10.00 |  1.72436 |    0.01069
     20.00 |          20.00 |  1.79671 |    0.01133
     20.00 |          30.00 |  1.82091 |    0.01095
     20.00 |          40.00 |  1.84713 |    0.01079
     20.00 |          50.00 |  1.85131 |    0.01179
     20.00 |          60.00 |  1.86326 |    0.01109
     20.00 |          70.00 |  1.87235 |    0.01163
     20.00 |          80.00 |  1.88356 |    0.01201
     20.00 |          90.00 |  1.89228 |    0.01153
     20.00 |         100.00 |  1.89575 |    0.01102
     25.00 |          10.00 |  1.56581 |    0.00797
     25.00 |          20.00 |  1.63337 |    0.00851
     25.00 |          30.00 |  1.65693 |    0.00953
     25.00 |          40.00 |  1.67040 |    0.01032
     25.00 |          50.00 |  1.67823 |    0.01085
     25.00 |          60.00 |  1.68531 |    0.01003
     25.00 |          70.00 |  1.69035 |    0.01063
     25.00 |          80.00 |  1.69721 |    0.00990
     25.00 |          90.00 |  1.69563 |    0.00965
     25.00 |         100.00 |  1.69487 |    0.00991

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      7.50 |          95.00 |  1.95598 |    0.00756
      7.50 |          96.00 |  1.95584 |    0.00750
      7.50 |          97.00 |  1.95405 |    0.00792
      7.50 |          98.00 |  1.95524 |    0.00774
      7.50 |          99.00 |  1.95403 |    0.00794
      8.50 |          95.00 |  1.98839 |    0.00814
      8.50 |          96.00 |  1.98860 |    0.00769
      8.50 |          97.00 |  1.98605 |    0.00757
      8.50 |          98.00 |  1.98619 |    0.00750
      8.50 |          99.00 |  1.98524 |    0.00781
      9.50 |          95.00 |  2.00360 |    0.00970
      9.50 |          96.00 |  2.00218 |    0.00959
      9.50 |          97.00 |  2.00322 |    0.00997
      9.50 |          98.00 |  2.00106 |    0.00987
      9.50 |          99.00 |  1.99999 |    0.01054
     10.50 |          95.00 |  2.01919 |    0.01144
     10.50 |          96.00 |  2.01850 |    0.01161
     10.50 |          97.00 |  2.01975 |    0.01139
     10.50 |          98.00 |  2.02110 |    0.01145
     10.50 |          99.00 |  2.02027 |    0.01196
     11.50 |          95.00 |  2.02456 |    0.00849
     11.50 |          96.00 |  2.02427 |    0.00845
     11.50 |          97.00 |  2.02544 |    0.00861
     11.50 |          98.00 |  2.02528 |    0.00840
     11.50 |          99.00 |  2.02290 |    0.00871

### TBR Summary Statistics:
Maximum TBR for LiPbBa: 2.02544
Optimal breeder width: 11.50 cm
Optimal lithium enrichment: 97.00 %

Mean TBR: 1.84202
Median TBR: 1.89910
