### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.22995 |    0.00730
      0.00 |          20.00 |  1.34216 |    0.00843
      0.00 |          30.00 |  1.39639 |    0.00797
      0.00 |          40.00 |  1.42648 |    0.00941
      0.00 |          50.00 |  1.44369 |    0.00890
      0.00 |          60.00 |  1.45677 |    0.00904
      0.00 |          70.00 |  1.44988 |    0.00846
      0.00 |          80.00 |  1.45670 |    0.00715
      0.00 |          90.00 |  1.46966 |    0.00829
      0.00 |         100.00 |  1.46313 |    0.00880
      5.00 |          10.00 |  1.74455 |    0.00737
      5.00 |          20.00 |  1.83813 |    0.00881
      5.00 |          30.00 |  1.86073 |    0.00918
      5.00 |          40.00 |  1.87459 |    0.00900
      5.00 |          50.00 |  1.88493 |    0.00937
      5.00 |          60.00 |  1.87877 |    0.00929
      5.00 |          70.00 |  1.88709 |    0.00934
      5.00 |          80.00 |  1.89590 |    0.01027
      5.00 |          90.00 |  1.89574 |    0.00928
      5.00 |         100.00 |  1.89077 |    0.00946
     10.00 |          10.00 |  1.90305 |    0.01202
     10.00 |          20.00 |  1.96195 |    0.01102
     10.00 |          30.00 |  1.98734 |    0.00840
     10.00 |          40.00 |  2.00355 |    0.00938
     10.00 |          50.00 |  2.01398 |    0.01062
     10.00 |          60.00 |  2.00744 |    0.01003
     10.00 |          70.00 |  2.02013 |    0.01129
     10.00 |          80.00 |  2.01808 |    0.00936
     10.00 |          90.00 |  2.01616 |    0.01005
     10.00 |         100.00 |  2.01183 |    0.00915
     15.00 |          10.00 |  1.89633 |    0.00943
     15.00 |          20.00 |  1.95703 |    0.00857
     15.00 |          30.00 |  1.97870 |    0.00833
     15.00 |          40.00 |  1.99030 |    0.01035
     15.00 |          50.00 |  1.99402 |    0.00932
     15.00 |          60.00 |  2.00269 |    0.00951
     15.00 |          70.00 |  2.00706 |    0.00980
     15.00 |          80.00 |  2.00687 |    0.00825
     15.00 |          90.00 |  2.00454 |    0.00808
     15.00 |         100.00 |  2.01320 |    0.00863
     20.00 |          10.00 |  1.79256 |    0.01069
     20.00 |          20.00 |  1.84499 |    0.01211
     20.00 |          30.00 |  1.85587 |    0.01257
     20.00 |          40.00 |  1.86865 |    0.01143
     20.00 |          50.00 |  1.88197 |    0.01159
     20.00 |          60.00 |  1.88789 |    0.01245
     20.00 |          70.00 |  1.89401 |    0.01219
     20.00 |          80.00 |  1.89784 |    0.01095
     20.00 |          90.00 |  1.89700 |    0.01149
     20.00 |         100.00 |  1.89729 |    0.01058
     25.00 |          10.00 |  1.63419 |    0.00814
     25.00 |          20.00 |  1.67474 |    0.00863
     25.00 |          30.00 |  1.68018 |    0.00853
     25.00 |          40.00 |  1.69159 |    0.00803
     25.00 |          50.00 |  1.69731 |    0.00964
     25.00 |          60.00 |  1.69658 |    0.00883
     25.00 |          70.00 |  1.69634 |    0.00932
     25.00 |          80.00 |  1.69611 |    0.00946
     25.00 |          90.00 |  1.69765 |    0.00896
     25.00 |         100.00 |  1.69882 |    0.00875

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      7.50 |          65.00 |  1.94933 |    0.01068
      7.50 |          66.00 |  1.94612 |    0.01099
      7.50 |          67.00 |  1.94991 |    0.01077
      7.50 |          68.00 |  1.95114 |    0.01090
      7.50 |          69.00 |  1.94964 |    0.01104
