### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.15160 |    0.00491
      0.00 |          20.00 |  1.26772 |    0.00697
      0.00 |          30.00 |  1.29979 |    0.00705
      0.00 |          40.00 |  1.30989 |    0.00718
      0.00 |          50.00 |  1.30669 |    0.00873
      0.00 |          60.00 |  1.28120 |    0.00834
      0.00 |          70.00 |  1.26436 |    0.00901
      0.00 |          80.00 |  1.23791 |    0.00896
      0.00 |          90.00 |  1.21867 |    0.00765
      0.00 |         100.00 |  1.19940 |    0.00779
      5.00 |          10.00 |  1.55246 |    0.00876
      5.00 |          20.00 |  1.65441 |    0.00813
      5.00 |          30.00 |  1.67633 |    0.01038
      5.00 |          40.00 |  1.69470 |    0.01092
      5.00 |          50.00 |  1.69489 |    0.01125
      5.00 |          60.00 |  1.68565 |    0.00922
      5.00 |          70.00 |  1.68644 |    0.01020
      5.00 |          80.00 |  1.66233 |    0.00979
      5.00 |          90.00 |  1.65980 |    0.01042
      5.00 |         100.00 |  1.63937 |    0.00980
     10.00 |          10.00 |  1.74274 |    0.00978
     10.00 |          20.00 |  1.83266 |    0.00841
     10.00 |          30.00 |  1.86414 |    0.00928
     10.00 |          40.00 |  1.89063 |    0.01106
     10.00 |          50.00 |  1.88476 |    0.01104
     10.00 |          60.00 |  1.88202 |    0.01082
     10.00 |          70.00 |  1.87476 |    0.00984
     10.00 |          80.00 |  1.86182 |    0.01068
     10.00 |          90.00 |  1.85796 |    0.01059
     10.00 |         100.00 |  1.83915 |    0.01103
     15.00 |          10.00 |  1.81196 |    0.01070
     15.00 |          20.00 |  1.88687 |    0.01045
     15.00 |          30.00 |  1.91424 |    0.00957
     15.00 |          40.00 |  1.94638 |    0.01020
     15.00 |          50.00 |  1.92871 |    0.00997
     15.00 |          60.00 |  1.94058 |    0.01076
     15.00 |          70.00 |  1.93022 |    0.01191
     15.00 |          80.00 |  1.92828 |    0.01179
     15.00 |          90.00 |  1.91832 |    0.01151
     15.00 |         100.00 |  1.91971 |    0.01209
     20.00 |          10.00 |  1.75466 |    0.01132
     20.00 |          20.00 |  1.81529 |    0.01170
     20.00 |          30.00 |  1.82750 |    0.01093
     20.00 |          40.00 |  1.84147 |    0.01104
     20.00 |          50.00 |  1.84713 |    0.01121
     20.00 |          60.00 |  1.85099 |    0.01082
     20.00 |          70.00 |  1.85826 |    0.01109
     20.00 |          80.00 |  1.85364 |    0.01240
     20.00 |          90.00 |  1.85183 |    0.01292
     20.00 |         100.00 |  1.84629 |    0.01306
     25.00 |          10.00 |  1.61108 |    0.00896
     25.00 |          20.00 |  1.64870 |    0.00948
     25.00 |          30.00 |  1.66431 |    0.00880
     25.00 |          40.00 |  1.67750 |    0.00849
     25.00 |          50.00 |  1.68060 |    0.00918
     25.00 |          60.00 |  1.68932 |    0.00932
     25.00 |          70.00 |  1.69050 |    0.00950
     25.00 |          80.00 |  1.69372 |    0.00971
     25.00 |          90.00 |  1.69148 |    0.01021
     25.00 |         100.00 |  1.68710 |    0.01024

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
     12.50 |          35.00 |  1.92426 |    0.01144
     12.50 |          36.00 |  1.92842 |    0.01096
     12.50 |          37.00 |  1.93045 |    0.01047
     12.50 |          38.00 |  1.93125 |    0.01005
     12.50 |          39.00 |  1.92946 |    0.00981
     12.50 |          40.00 |  1.93349 |    0.00961
     12.50 |          41.00 |  1.93845 |    0.00957
     12.50 |          42.00 |  1.93813 |    0.01018
     12.50 |          43.00 |  1.93713 |    0.01000
     12.50 |          44.00 |  1.93730 |    0.01008
     13.50 |          35.00 |  1.93020 |    0.01079
     13.50 |          36.00 |  1.93635 |    0.01019
     13.50 |          37.00 |  1.93670 |    0.01025
     13.50 |          38.00 |  1.93909 |    0.01047
     13.50 |          39.00 |  1.94360 |    0.01031
     13.50 |          40.00 |  1.94790 |    0.01045
     13.50 |          41.00 |  1.95010 |    0.01071
     13.50 |          42.00 |  1.95062 |    0.01042
     13.50 |          43.00 |  1.94641 |    0.01035
     13.50 |          44.00 |  1.95094 |    0.01065
     14.50 |          35.00 |  1.93908 |    0.01035
     14.50 |          36.00 |  1.94007 |    0.01081
     14.50 |          37.00 |  1.94325 |    0.01130
     14.50 |          38.00 |  1.94408 |    0.01164
     14.50 |          39.00 |  1.94461 |    0.01091
     14.50 |          40.00 |  1.94771 |    0.01084
     14.50 |          41.00 |  1.94679 |    0.01139
     14.50 |          42.00 |  1.94801 |    0.01157
     14.50 |          43.00 |  1.94833 |    0.01143
     14.50 |          44.00 |  1.94727 |    0.01217
     15.50 |          35.00 |  1.92389 |    0.00943
     15.50 |          36.00 |  1.92765 |    0.00957
     15.50 |          37.00 |  1.92818 |    0.00962
     15.50 |          38.00 |  1.93498 |    0.00929
     15.50 |          39.00 |  1.93546 |    0.00962
     15.50 |          40.00 |  1.93692 |    0.00988
     15.50 |          41.00 |  1.93465 |    0.00995
     15.50 |          42.00 |  1.93337 |    0.01049
     15.50 |          43.00 |  1.93526 |    0.01020
     15.50 |          44.00 |  1.93376 |    0.01062
     16.50 |          35.00 |  1.91701 |    0.01042
     16.50 |          36.00 |  1.92030 |    0.01095
     16.50 |          37.00 |  1.91728 |    0.01122
     16.50 |          38.00 |  1.91887 |    0.01163
     16.50 |          39.00 |  1.92241 |    0.01185
     16.50 |          40.00 |  1.92451 |    0.01113
     16.50 |          41.00 |  1.92677 |    0.01132
     16.50 |          42.00 |  1.92901 |    0.01185
     16.50 |          43.00 |  1.92853 |    0.01199
     16.50 |          44.00 |  1.93166 |    0.01182

### TBR Summary Statistics:
Maximum TBR for LiSnZn: 1.95094
Optimal breeder width: 13.50 cm
Optimal lithium enrichment: 44.00 %

Mean TBR: 1.80592
Median TBR: 1.91780
