### Coarse Search Data (initial) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
      0.00 |          10.00 |  1.12131 |    0.00697
      0.00 |          20.00 |  1.22165 |    0.00759
      0.00 |          30.00 |  1.28776 |    0.00674
      0.00 |          40.00 |  1.30347 |    0.00830
      0.00 |          50.00 |  1.32246 |    0.00753
      0.00 |          60.00 |  1.33480 |    0.00818
      0.00 |          70.00 |  1.32968 |    0.00844
      0.00 |          80.00 |  1.33315 |    0.00937
      0.00 |          90.00 |  1.34249 |    0.00838
      0.00 |         100.00 |  1.33270 |    0.00846
      5.00 |          10.00 |  1.59464 |    0.00848
      5.00 |          20.00 |  1.67343 |    0.00911
      5.00 |          30.00 |  1.71089 |    0.00845
      5.00 |          40.00 |  1.72288 |    0.00942
      5.00 |          50.00 |  1.72978 |    0.00955
      5.00 |          60.00 |  1.73131 |    0.01038
      5.00 |          70.00 |  1.73439 |    0.00913
      5.00 |          80.00 |  1.73592 |    0.00904
      5.00 |          90.00 |  1.72895 |    0.00831
      5.00 |         100.00 |  1.73439 |    0.00974
     10.00 |          10.00 |  1.77300 |    0.01053
     10.00 |          20.00 |  1.83455 |    0.01053
     10.00 |          30.00 |  1.87569 |    0.01022
     10.00 |          40.00 |  1.88973 |    0.01198
     10.00 |          50.00 |  1.88800 |    0.01109
     10.00 |          60.00 |  1.90055 |    0.01227
     10.00 |          70.00 |  1.89450 |    0.01047
     10.00 |          80.00 |  1.89434 |    0.01034
     10.00 |          90.00 |  1.89169 |    0.01088
     10.00 |         100.00 |  1.90048 |    0.00996
     15.00 |          10.00 |  1.80235 |    0.00939
     15.00 |          20.00 |  1.86046 |    0.00983
     15.00 |          30.00 |  1.89872 |    0.01048
     15.00 |          40.00 |  1.92086 |    0.01016
     15.00 |          50.00 |  1.91590 |    0.00963
     15.00 |          60.00 |  1.93584 |    0.00976
     15.00 |          70.00 |  1.93570 |    0.01005
     15.00 |          80.00 |  1.93313 |    0.01025
     15.00 |          90.00 |  1.93536 |    0.01030
     15.00 |         100.00 |  1.93204 |    0.00971
     20.00 |          10.00 |  1.72598 |    0.01058
     20.00 |          20.00 |  1.77084 |    0.01102
     20.00 |          30.00 |  1.80503 |    0.01135
     20.00 |          40.00 |  1.81940 |    0.01218
     20.00 |          50.00 |  1.83083 |    0.01135
     20.00 |          60.00 |  1.83965 |    0.00986
     20.00 |          70.00 |  1.84360 |    0.01072
     20.00 |          80.00 |  1.84795 |    0.01140
     20.00 |          90.00 |  1.84666 |    0.01112
     20.00 |         100.00 |  1.84927 |    0.01126
     25.00 |          10.00 |  1.58515 |    0.00823
     25.00 |          20.00 |  1.62022 |    0.00801
     25.00 |          30.00 |  1.64240 |    0.00958
     25.00 |          40.00 |  1.64958 |    0.01025
     25.00 |          50.00 |  1.66230 |    0.00964
     25.00 |          60.00 |  1.66917 |    0.01026
     25.00 |          70.00 |  1.67233 |    0.01028
     25.00 |          80.00 |  1.67125 |    0.00897
     25.00 |          90.00 |  1.67275 |    0.00917
     25.00 |         100.00 |  1.67102 |    0.00957

### Refined Search Data (local refinement) ###
Width (cm) | Enrichment (%) | TBR Mean | TBR Std Dev
     12.50 |          55.00 |  1.92387 |    0.01098
     12.50 |          56.00 |  1.92694 |    0.01076
     12.50 |          57.00 |  1.92669 |    0.01107
     12.50 |          58.00 |  1.92955 |    0.01158
     12.50 |          59.00 |  1.93083 |    0.01169
     12.50 |          60.00 |  1.93230 |    0.01237
     12.50 |          61.00 |  1.92784 |    0.01285
     12.50 |          62.00 |  1.93008 |    0.01267
     12.50 |          63.00 |  1.92750 |    0.01290
     12.50 |          64.00 |  1.92825 |    0.01223
     13.50 |          55.00 |  1.93389 |    0.01172
     13.50 |          56.00 |  1.93548 |    0.01100
     13.50 |          57.00 |  1.93631 |    0.01173
     13.50 |          58.00 |  1.94083 |    0.01186
     13.50 |          59.00 |  1.93557 |    0.01138
     13.50 |          60.00 |  1.93413 |    0.01179
     13.50 |          61.00 |  1.93762 |    0.01208
     13.50 |          62.00 |  1.93776 |    0.01151
     13.50 |          63.00 |  1.93727 |    0.01151
     13.50 |          64.00 |  1.94099 |    0.01103
     14.50 |          55.00 |  1.92802 |    0.01039
     14.50 |          56.00 |  1.92827 |    0.01022
     14.50 |          57.00 |  1.93200 |    0.01070
     14.50 |          58.00 |  1.93403 |    0.01077
     14.50 |          59.00 |  1.93374 |    0.01127
     14.50 |          60.00 |  1.93211 |    0.01124
     14.50 |          61.00 |  1.93109 |    0.01173
     14.50 |          62.00 |  1.92921 |    0.01170
     14.50 |          63.00 |  1.93089 |    0.01134
     14.50 |          64.00 |  1.93172 |    0.01124
     15.50 |          55.00 |  1.91679 |    0.01013
     15.50 |          56.00 |  1.91800 |    0.01047
     15.50 |          57.00 |  1.91836 |    0.01125
     15.50 |          58.00 |  1.92018 |    0.01163
     15.50 |          59.00 |  1.92342 |    0.01160
     15.50 |          60.00 |  1.92414 |    0.01196
     15.50 |          61.00 |  1.92586 |    0.01225
     15.50 |          62.00 |  1.92533 |    0.01209
     15.50 |          63.00 |  1.92482 |    0.01175
     15.50 |          64.00 |  1.92052 |    0.01151
     16.50 |          55.00 |  1.92061 |    0.01052
     16.50 |          56.00 |  1.92257 |    0.01021
     16.50 |          57.00 |  1.92283 |    0.01069
     16.50 |          58.00 |  1.92542 |    0.01089
     16.50 |          59.00 |  1.92585 |    0.01081
     16.50 |          60.00 |  1.92451 |    0.01109
     16.50 |          61.00 |  1.92664 |    0.01096
     16.50 |          62.00 |  1.92719 |    0.01067
     16.50 |          63.00 |  1.92535 |    0.01056
     16.50 |          64.00 |  1.92187 |    0.01053

### TBR Summary Statistics:
Maximum TBR for LiSrPb: 1.94099
Optimal breeder width: 13.50 cm
Optimal lithium enrichment: 64.00 %

Mean TBR: 1.80872
Median TBR: 1.91739
