### Coarse Search Data (initial) ###
Enrichment (%) | TBR Mean | TBR Std Dev
          5.00 |  1.26953 |    0.00520
          5.96 |  1.26691 |    0.00506
          6.92 |  1.26469 |    0.00507
          7.88 |  1.26805 |    0.00487
          8.84 |  1.27307 |    0.00459
          9.80 |  1.26715 |    0.00467
         10.76 |  1.26931 |    0.00504
         11.72 |  1.26446 |    0.00552
         12.68 |  1.26356 |    0.00527
         13.64 |  1.26279 |    0.00566
         14.60 |  1.26369 |    0.00546
         15.56 |  1.26113 |    0.00528
         16.52 |  1.26047 |    0.00528
         17.47 |  1.25871 |    0.00501
         18.43 |  1.25776 |    0.00529
         19.39 |  1.25759 |    0.00530
         20.35 |  1.25346 |    0.00510
         21.31 |  1.25366 |    0.00495
         22.27 |  1.25229 |    0.00518
         23.23 |  1.25152 |    0.00547
         24.19 |  1.24885 |    0.00555
         25.15 |  1.24634 |    0.00545
         26.11 |  1.24510 |    0.00537
         27.07 |  1.24353 |    0.00515
         28.03 |  1.24139 |    0.00521
         28.99 |  1.23882 |    0.00537
         29.95 |  1.23451 |    0.00534
         30.91 |  1.23418 |    0.00536
         31.87 |  1.22926 |    0.00496
         32.83 |  1.22888 |    0.00502
         33.79 |  1.22578 |    0.00538
         34.75 |  1.22355 |    0.00549
         35.71 |  1.22369 |    0.00584
         36.67 |  1.22251 |    0.00602
         37.63 |  1.22014 |    0.00596
         38.59 |  1.21462 |    0.00567
         39.55 |  1.21296 |    0.00575
         40.51 |  1.21048 |    0.00586
         41.46 |  1.20774 |    0.00558
         42.42 |  1.20430 |    0.00594
         43.38 |  1.20371 |    0.00589
         44.34 |  1.20252 |    0.00600
         45.30 |  1.20148 |    0.00623
         46.26 |  1.20030 |    0.00612
         47.22 |  1.19728 |    0.00614
         48.18 |  1.19627 |    0.00579
         49.14 |  1.19291 |    0.00551
         50.10 |  1.19039 |    0.00576
         51.06 |  1.18827 |    0.00588
         52.02 |  1.18625 |    0.00603
         52.98 |  1.18404 |    0.00609
         53.94 |  1.18177 |    0.00586
         54.90 |  1.18195 |    0.00618
         55.86 |  1.17817 |    0.00648
         56.82 |  1.17681 |    0.00621
         57.78 |  1.17419 |    0.00624
         58.74 |  1.17160 |    0.00620
         59.70 |  1.16940 |    0.00642
         60.66 |  1.16788 |    0.00637
         61.62 |  1.16559 |    0.00592
         62.58 |  1.16320 |    0.00581
         63.54 |  1.16155 |    0.00585
         64.49 |  1.16079 |    0.00568
         65.45 |  1.16079 |    0.00548
         66.41 |  1.15914 |    0.00547
         67.37 |  1.15787 |    0.00545
         68.33 |  1.15626 |    0.00549
         69.29 |  1.15603 |    0.00551
         70.25 |  1.15463 |    0.00568
         71.21 |  1.15381 |    0.00555
         72.17 |  1.15212 |    0.00559
         73.13 |  1.15007 |    0.00565
         74.09 |  1.14774 |    0.00562
         75.05 |  1.14740 |    0.00540
         76.01 |  1.14427 |    0.00553
         76.97 |  1.14026 |    0.00543
         77.93 |  1.13819 |    0.00534
         78.89 |  1.13570 |    0.00527
         79.85 |  1.13449 |    0.00525
         80.81 |  1.13457 |    0.00529
         81.77 |  1.13204 |    0.00537
         82.73 |  1.13099 |    0.00530
         83.69 |  1.13043 |    0.00549
         84.65 |  1.12897 |    0.00567
         85.61 |  1.12871 |    0.00579
         86.57 |  1.12550 |    0.00582
         87.53 |  1.12431 |    0.00576
         88.48 |  1.12178 |    0.00566
         89.44 |  1.11897 |    0.00551
         90.40 |  1.11820 |    0.00539
         91.36 |  1.11629 |    0.00534
         92.32 |  1.11487 |    0.00526
         93.28 |  1.11231 |    0.00513
         94.24 |  1.11036 |    0.00536
         95.20 |  1.10757 |    0.00561
         96.16 |  1.10705 |    0.00533
         97.12 |  1.10516 |    0.00535
         98.08 |  1.10234 |    0.00523
         99.04 |  1.10233 |    0.00527
        100.00 |  1.10037 |    0.00498

### Refined Search Data (local refinement) ###
Enrichment (%) | TBR Mean | TBR Std Dev
         10.00 |  1.26725 |    0.00471
         11.00 |  1.26798 |    0.00511
         12.00 |  1.26516 |    0.00532
         13.00 |  1.26573 |    0.00539
         14.00 |  1.26140 |    0.00548

### TBR Summary Statistics:
Maximum TBR for FLiBe: 1.27307
Optimal lithium enrichment: 8.84 %

Mean TBR: 1.19221
Median TBR: 1.19039
