### Coarse Search Data (initial) ###
Enrichment (%) | TBR Mean | TBR Std Dev
          5.00 |  1.90359 |    0.00516
          5.96 |  1.89431 |    0.00471
          6.92 |  1.88210 |    0.00427
          7.88 |  1.87294 |    0.00450
          8.84 |  1.86094 |    0.00411
          9.80 |  1.84930 |    0.00403
         10.76 |  1.83591 |    0.00464
         11.72 |  1.83004 |    0.00474
         12.68 |  1.82027 |    0.00504
         13.64 |  1.80845 |    0.00529
         14.60 |  1.79997 |    0.00483
         15.56 |  1.79255 |    0.00494
         16.52 |  1.78562 |    0.00550
         17.47 |  1.77338 |    0.00514
         18.43 |  1.76192 |    0.00494
         19.39 |  1.75314 |    0.00479
         20.35 |  1.74554 |    0.00517
         21.31 |  1.73288 |    0.00533
         22.27 |  1.72432 |    0.00556
         23.23 |  1.71603 |    0.00554
         24.19 |  1.70777 |    0.00556
         25.15 |  1.69888 |    0.00569
         26.11 |  1.69309 |    0.00579
         27.07 |  1.68473 |    0.00613
         28.03 |  1.67646 |    0.00571
         28.99 |  1.66769 |    0.00535
         29.95 |  1.65910 |    0.00526
         30.91 |  1.65071 |    0.00522
         31.87 |  1.64139 |    0.00509
         32.83 |  1.63242 |    0.00523
         33.79 |  1.62197 |    0.00514
         34.75 |  1.61185 |    0.00535
         35.71 |  1.60314 |    0.00548
         36.67 |  1.59426 |    0.00593
         37.63 |  1.58443 |    0.00618
         38.59 |  1.57630 |    0.00597
         39.55 |  1.56964 |    0.00585
         40.51 |  1.56159 |    0.00580
         41.46 |  1.55293 |    0.00586
         42.42 |  1.54311 |    0.00573
         43.38 |  1.53483 |    0.00534
         44.34 |  1.52567 |    0.00509
         45.30 |  1.51833 |    0.00531
         46.26 |  1.51197 |    0.00526
         47.22 |  1.50501 |    0.00527
         48.18 |  1.49715 |    0.00539
         49.14 |  1.48826 |    0.00553
         50.10 |  1.47949 |    0.00549
         51.06 |  1.47200 |    0.00554
         52.02 |  1.46464 |    0.00541
         52.98 |  1.45734 |    0.00520
         53.94 |  1.44991 |    0.00526
         54.90 |  1.44393 |    0.00525
         55.86 |  1.43497 |    0.00509
         56.82 |  1.42829 |    0.00510
         57.78 |  1.41967 |    0.00547
         58.74 |  1.41237 |    0.00557
         59.70 |  1.40504 |    0.00574
         60.66 |  1.39811 |    0.00590
         61.62 |  1.38984 |    0.00552
         62.58 |  1.38178 |    0.00568
         63.54 |  1.37382 |    0.00560
         64.49 |  1.36537 |    0.00560
         65.45 |  1.35783 |    0.00544
         66.41 |  1.35091 |    0.00534
         67.37 |  1.34324 |    0.00531
         68.33 |  1.33616 |    0.00532
         69.29 |  1.32850 |    0.00510
         70.25 |  1.32040 |    0.00488
         71.21 |  1.31144 |    0.00478
         72.17 |  1.30300 |    0.00459
         73.13 |  1.29553 |    0.00485
         74.09 |  1.28792 |    0.00479
         75.05 |  1.28193 |    0.00473
         76.01 |  1.27412 |    0.00475
         76.97 |  1.26714 |    0.00475
         77.93 |  1.26031 |    0.00462
         78.89 |  1.25463 |    0.00461
         79.85 |  1.24883 |    0.00479
         80.81 |  1.24099 |    0.00504
         81.77 |  1.23429 |    0.00496
         82.73 |  1.22675 |    0.00498
         83.69 |  1.21810 |    0.00478
         84.65 |  1.21031 |    0.00470
         85.61 |  1.20318 |    0.00453
         86.57 |  1.19629 |    0.00443
         87.53 |  1.19088 |    0.00467
         88.48 |  1.18547 |    0.00473
         89.44 |  1.17805 |    0.00475
         90.40 |  1.17177 |    0.00458
         91.36 |  1.16600 |    0.00489
         92.32 |  1.15868 |    0.00493
         93.28 |  1.15213 |    0.00481
         94.24 |  1.14448 |    0.00477
         95.20 |  1.13723 |    0.00500
         96.16 |  1.13015 |    0.00511
         97.12 |  1.12395 |    0.00507
         98.08 |  1.11839 |    0.00502
         99.04 |  1.11235 |    0.00486
        100.00 |  1.10452 |    0.00493

### Refined Search Data (local refinement) ###
Enrichment (%) | TBR Mean | TBR Std Dev
         10.00 |  1.84569 |    0.00422

### TBR Summary Statistics:
Maximum TBR for Li: 1.90359
Optimal lithium enrichment: 5.00 %

Mean TBR: 1.47826
Median TBR: 1.46464
