### Coarse Search Data (initial) ###
Enrichment (%) | TBR Mean | TBR Std Dev
          5.00 |  0.99632 |    0.00476
          5.96 |  1.00635 |    0.00477
          6.92 |  1.01257 |    0.00462
          7.88 |  1.01773 |    0.00386
          8.84 |  1.01909 |    0.00389
          9.80 |  1.02158 |    0.00402
         10.76 |  1.01826 |    0.00418
         11.72 |  1.01935 |    0.00420
         12.68 |  1.01594 |    0.00438
         13.64 |  1.01910 |    0.00482
         14.60 |  1.01983 |    0.00492
         15.56 |  1.01566 |    0.00486
         16.52 |  1.01375 |    0.00478
         17.47 |  1.00940 |    0.00435
         18.43 |  1.00924 |    0.00444
         19.39 |  1.01278 |    0.00463
         20.35 |  1.01151 |    0.00494
         21.31 |  1.01447 |    0.00524
         22.27 |  1.01689 |    0.00503
         23.23 |  1.01476 |    0.00531
         24.19 |  1.01366 |    0.00475
         25.15 |  1.01102 |    0.00484
         26.11 |  1.01433 |    0.00499
         27.07 |  1.01510 |    0.00534
         28.03 |  1.01457 |    0.00526
         28.99 |  1.01134 |    0.00528
         29.95 |  1.01149 |    0.00507
         30.91 |  1.01067 |    0.00519
         31.87 |  1.00976 |    0.00516
         32.83 |  1.01134 |    0.00532
         33.79 |  1.00937 |    0.00514
         34.75 |  1.00906 |    0.00520
         35.71 |  1.00872 |    0.00470
         36.67 |  1.00630 |    0.00491
         37.63 |  1.00461 |    0.00506
         38.59 |  1.00208 |    0.00520
         39.55 |  1.00120 |    0.00523
         40.51 |  0.99737 |    0.00502
         41.46 |  0.99442 |    0.00484
         42.42 |  0.99338 |    0.00510
         43.38 |  0.99037 |    0.00492
         44.34 |  0.98637 |    0.00508
         45.30 |  0.98387 |    0.00483
         46.26 |  0.97955 |    0.00476
         47.22 |  0.97812 |    0.00476
         48.18 |  0.97411 |    0.00460
         49.14 |  0.97204 |    0.00445
         50.10 |  0.97149 |    0.00466
         51.06 |  0.97155 |    0.00472
         52.02 |  0.97189 |    0.00469
         52.98 |  0.96779 |    0.00465
         53.94 |  0.96747 |    0.00462
         54.90 |  0.96474 |    0.00487
         55.86 |  0.96460 |    0.00477
         56.82 |  0.96247 |    0.00477
         57.78 |  0.95949 |    0.00465
         58.74 |  0.95934 |    0.00468
         59.70 |  0.95913 |    0.00498
         60.66 |  0.95732 |    0.00483
         61.62 |  0.95810 |    0.00482
         62.58 |  0.95639 |    0.00453
         63.54 |  0.95664 |    0.00447
         64.49 |  0.95683 |    0.00452
         65.45 |  0.95603 |    0.00474
         66.41 |  0.95587 |    0.00478
         67.37 |  0.95630 |    0.00455
         68.33 |  0.95475 |    0.00438
         69.29 |  0.95202 |    0.00436
         70.25 |  0.94832 |    0.00442
         71.21 |  0.94608 |    0.00457
         72.17 |  0.94411 |    0.00454
         73.13 |  0.94159 |    0.00447
         74.09 |  0.94068 |    0.00459
         75.05 |  0.93841 |    0.00464
         76.01 |  0.93725 |    0.00446
         76.97 |  0.93344 |    0.00426
         77.93 |  0.93162 |    0.00429
         78.89 |  0.92905 |    0.00434
         79.85 |  0.92686 |    0.00448
         80.81 |  0.92425 |    0.00467
         81.77 |  0.92160 |    0.00465
         82.73 |  0.92110 |    0.00470
         83.69 |  0.92020 |    0.00475
         84.65 |  0.91770 |    0.00455
         85.61 |  0.91466 |    0.00436
         86.57 |  0.91412 |    0.00461
         87.53 |  0.91379 |    0.00444
         88.48 |  0.91077 |    0.00461
         89.44 |  0.91177 |    0.00464
         90.40 |  0.90849 |    0.00466
         91.36 |  0.90589 |    0.00471
         92.32 |  0.90406 |    0.00481
         93.28 |  0.90310 |    0.00497
         94.24 |  0.90046 |    0.00497
         95.20 |  0.90084 |    0.00461
         96.16 |  0.90233 |    0.00469
         97.12 |  0.89915 |    0.00491
         98.08 |  0.89554 |    0.00494
         99.04 |  0.89365 |    0.00502
        100.00 |  0.89115 |    0.00472

### Refined Search Data (local refinement) ###
Enrichment (%) | TBR Mean | TBR Std Dev
         10.00 |  1.02296 |    0.00405
         11.00 |  1.01872 |    0.00422
         12.00 |  1.01931 |    0.00444
         13.00 |  1.01691 |    0.00422
         14.00 |  1.01898 |    0.00497
         15.00 |  1.01810 |    0.00490

### TBR Summary Statistics:
Maximum TBR for Li2TiO3: 1.02296
Optimal lithium enrichment: 10.00 %

Mean TBR: 0.97157
Median TBR: 0.97196
