### Coarse Search Data (initial) ###
Enrichment (%) | TBR Mean | TBR Std Dev
          5.00 |  0.90893 |    0.00318
          5.96 |  0.98397 |    0.00332
          6.92 |  1.04741 |    0.00318
          7.88 |  1.10519 |    0.00327
          8.84 |  1.15487 |    0.00384
          9.80 |  1.19822 |    0.00423
         10.76 |  1.23238 |    0.00438
         11.72 |  1.26675 |    0.00425
         12.68 |  1.29778 |    0.00411
         13.64 |  1.32334 |    0.00441
         14.60 |  1.34504 |    0.00474
         15.56 |  1.36469 |    0.00498
         16.52 |  1.38454 |    0.00482
         17.47 |  1.40591 |    0.00431
         18.43 |  1.42057 |    0.00459
         19.39 |  1.43576 |    0.00474
         20.35 |  1.44715 |    0.00486
         21.31 |  1.46114 |    0.00460
         22.27 |  1.47619 |    0.00508
         23.23 |  1.49129 |    0.00576
         24.19 |  1.50079 |    0.00588
         25.15 |  1.51396 |    0.00591
         26.11 |  1.52499 |    0.00561
         27.07 |  1.52867 |    0.00581
         28.03 |  1.53550 |    0.00524
         28.99 |  1.54000 |    0.00543
         29.95 |  1.54931 |    0.00523
         30.91 |  1.55626 |    0.00546
         31.87 |  1.56520 |    0.00573
         32.83 |  1.57206 |    0.00587
         33.79 |  1.57713 |    0.00591
         34.75 |  1.58010 |    0.00585
         35.71 |  1.58543 |    0.00580
         36.67 |  1.58912 |    0.00603
         37.63 |  1.59789 |    0.00567
         38.59 |  1.60244 |    0.00572
         39.55 |  1.60772 |    0.00640
         40.51 |  1.61201 |    0.00585
         41.46 |  1.61737 |    0.00590
         42.42 |  1.61818 |    0.00586
         43.38 |  1.62401 |    0.00587
         44.34 |  1.62262 |    0.00584
         45.30 |  1.62482 |    0.00582
         46.26 |  1.62780 |    0.00622
         47.22 |  1.63142 |    0.00604
         48.18 |  1.63212 |    0.00612
         49.14 |  1.63243 |    0.00593
         50.10 |  1.63528 |    0.00572
         51.06 |  1.63847 |    0.00588
         52.02 |  1.63801 |    0.00616
         52.98 |  1.63921 |    0.00597
         53.94 |  1.64316 |    0.00592
         54.90 |  1.64402 |    0.00557
         55.86 |  1.64605 |    0.00510
         56.82 |  1.64350 |    0.00541
         57.78 |  1.64760 |    0.00545
         58.74 |  1.65199 |    0.00555
         59.70 |  1.65659 |    0.00584
         60.66 |  1.65676 |    0.00590
         61.62 |  1.65985 |    0.00574
         62.58 |  1.66021 |    0.00596
         63.54 |  1.65872 |    0.00576
         64.49 |  1.65743 |    0.00569
         65.45 |  1.65943 |    0.00570
         66.41 |  1.66340 |    0.00556
         67.37 |  1.66421 |    0.00564
         68.33 |  1.66207 |    0.00549
         69.29 |  1.66407 |    0.00552
         70.25 |  1.66481 |    0.00554
         71.21 |  1.66652 |    0.00550
         72.17 |  1.66824 |    0.00579
         73.13 |  1.66918 |    0.00601
         74.09 |  1.67333 |    0.00579
         75.05 |  1.67251 |    0.00554
         76.01 |  1.67171 |    0.00556
         76.97 |  1.67304 |    0.00591
         77.93 |  1.67240 |    0.00611
         78.89 |  1.67078 |    0.00609
         79.85 |  1.67152 |    0.00621
         80.81 |  1.67084 |    0.00666
         81.77 |  1.67408 |    0.00680
         82.73 |  1.67801 |    0.00674
         83.69 |  1.67616 |    0.00671
         84.65 |  1.67692 |    0.00660
         85.61 |  1.68037 |    0.00693
         86.57 |  1.68294 |    0.00694
         87.53 |  1.68475 |    0.00659
         88.48 |  1.68207 |    0.00654
         89.44 |  1.67929 |    0.00637
         90.40 |  1.67870 |    0.00607
         91.36 |  1.67741 |    0.00601
         92.32 |  1.67549 |    0.00617
         93.28 |  1.67815 |    0.00621
         94.24 |  1.67722 |    0.00594
         95.20 |  1.67689 |    0.00611
         96.16 |  1.67551 |    0.00597
         97.12 |  1.67600 |    0.00577
         98.08 |  1.67829 |    0.00549
         99.04 |  1.67464 |    0.00551
        100.00 |  1.67339 |    0.00579

### Refined Search Data (local refinement) ###
Enrichment (%) | TBR Mean | TBR Std Dev
         82.53 |  1.67778 |    0.00666
         83.53 |  1.67587 |    0.00663
         84.53 |  1.67630 |    0.00661
         85.53 |  1.68001 |    0.00687
         86.53 |  1.68265 |    0.00695
         87.53 |  1.68475 |    0.00659
         88.53 |  1.68183 |    0.00654
         89.53 |  1.67915 |    0.00628
         90.53 |  1.67824 |    0.00614
         91.53 |  1.67734 |    0.00607
         92.53 |  1.67537 |    0.00616

### TBR Summary Statistics:
Maximum TBR for Li2ZrO3: 1.68475
Optimal lithium enrichment: 87.53 %

Mean TBR: 1.57911
Median TBR: 1.64760
