### Coarse Search Data (initial) ###
Enrichment (%) | TBR Mean | TBR Std Dev
          5.00 |  1.03061 |    0.00493
          5.96 |  1.03185 |    0.00494
          6.92 |  1.03218 |    0.00528
          7.88 |  1.02561 |    0.00468
          8.84 |  1.02258 |    0.00406
          9.80 |  1.01949 |    0.00429
         10.76 |  1.01517 |    0.00435
         11.72 |  1.01355 |    0.00422
         12.68 |  1.01038 |    0.00437
         13.64 |  1.00959 |    0.00470
         14.60 |  1.00798 |    0.00466
         15.56 |  1.00472 |    0.00466
         16.52 |  0.99645 |    0.00495
         17.47 |  0.99158 |    0.00488
         18.43 |  0.99145 |    0.00488
         19.39 |  0.98876 |    0.00482
         20.35 |  0.99056 |    0.00511
         21.31 |  0.98855 |    0.00505
         22.27 |  0.98431 |    0.00467
         23.23 |  0.98276 |    0.00462
         24.19 |  0.97795 |    0.00457
         25.15 |  0.97369 |    0.00460
         26.11 |  0.96891 |    0.00404
         27.07 |  0.96534 |    0.00419
         28.03 |  0.96511 |    0.00405
         28.99 |  0.96456 |    0.00388
         29.95 |  0.96039 |    0.00398
         30.91 |  0.95907 |    0.00410
         31.87 |  0.95684 |    0.00430
         32.83 |  0.95301 |    0.00408
         33.79 |  0.95231 |    0.00408
         34.75 |  0.95027 |    0.00452
         35.71 |  0.94701 |    0.00473
         36.67 |  0.94415 |    0.00448
         37.63 |  0.94283 |    0.00445
         38.59 |  0.94170 |    0.00440
         39.55 |  0.93876 |    0.00461
         40.51 |  0.93494 |    0.00485
         41.46 |  0.93174 |    0.00477
         42.42 |  0.92921 |    0.00441
         43.38 |  0.92755 |    0.00438
         44.34 |  0.92435 |    0.00430
         45.30 |  0.92202 |    0.00462
         46.26 |  0.91906 |    0.00455
         47.22 |  0.91569 |    0.00488
         48.18 |  0.91196 |    0.00474
         49.14 |  0.90910 |    0.00475
         50.10 |  0.90728 |    0.00462
         51.06 |  0.90445 |    0.00424
         52.02 |  0.90069 |    0.00428
         52.98 |  0.89914 |    0.00455
         53.94 |  0.89801 |    0.00454
         54.90 |  0.89680 |    0.00457
         55.86 |  0.89503 |    0.00442
         56.82 |  0.89296 |    0.00436
         57.78 |  0.88985 |    0.00453
         58.74 |  0.88693 |    0.00436
         59.70 |  0.88510 |    0.00435
         60.66 |  0.88064 |    0.00403
         61.62 |  0.87907 |    0.00409
         62.58 |  0.87686 |    0.00384
         63.54 |  0.87427 |    0.00369
         64.49 |  0.87295 |    0.00373
         65.45 |  0.87087 |    0.00387
         66.41 |  0.86794 |    0.00373
         67.37 |  0.86564 |    0.00402
         68.33 |  0.86269 |    0.00383
         69.29 |  0.85905 |    0.00389
         70.25 |  0.85734 |    0.00407
         71.21 |  0.85589 |    0.00418
         72.17 |  0.85545 |    0.00403
         73.13 |  0.85340 |    0.00397
         74.09 |  0.85232 |    0.00405
         75.05 |  0.84968 |    0.00406
         76.01 |  0.84861 |    0.00411
         76.97 |  0.84471 |    0.00415
         77.93 |  0.84293 |    0.00412
         78.89 |  0.84119 |    0.00414
         79.85 |  0.83754 |    0.00411
         80.81 |  0.83709 |    0.00403
         81.77 |  0.83598 |    0.00390
         82.73 |  0.83361 |    0.00411
         83.69 |  0.83350 |    0.00423
         84.65 |  0.82961 |    0.00403
         85.61 |  0.82694 |    0.00396
         86.57 |  0.82438 |    0.00407
         87.53 |  0.82389 |    0.00431
         88.48 |  0.82261 |    0.00428
         89.44 |  0.81897 |    0.00451
         90.40 |  0.81555 |    0.00455
         91.36 |  0.81235 |    0.00457
         92.32 |  0.80889 |    0.00443
         93.28 |  0.80719 |    0.00460
         94.24 |  0.80388 |    0.00452
         95.20 |  0.80192 |    0.00443
         96.16 |  0.80146 |    0.00459
         97.12 |  0.80035 |    0.00472
         98.08 |  0.79725 |    0.00462
         99.04 |  0.79537 |    0.00474
        100.00 |  0.79539 |    0.00466

### Refined Search Data (local refinement) ###
Enrichment (%) | TBR Mean | TBR Std Dev
         10.00 |  1.01740 |    0.00418
         11.00 |  1.01571 |    0.00434
         12.00 |  1.01248 |    0.00439

### TBR Summary Statistics:
Maximum TBR for Li4SiO4: 1.03218
Optimal lithium enrichment: 6.92 %

Mean TBR: 0.90974
Median TBR: 0.90445
