### Coarse Search Data (initial) ###
Enrichment (%) | TBR Mean | TBR Std Dev
          5.00 |  1.78722 |    0.00534
          5.96 |  1.80133 |    0.00529
          6.92 |  1.80692 |    0.00540
          7.88 |  1.81311 |    0.00579
          8.84 |  1.81086 |    0.00662
          9.80 |  1.81340 |    0.00687
         10.76 |  1.81259 |    0.00630
         11.72 |  1.81212 |    0.00660
         12.68 |  1.81480 |    0.00657
         13.64 |  1.82096 |    0.00719
         14.60 |  1.81967 |    0.00675
         15.56 |  1.81792 |    0.00580
         16.52 |  1.81786 |    0.00611
         17.47 |  1.81797 |    0.00660
         18.43 |  1.81385 |    0.00633
         19.39 |  1.81542 |    0.00616
         20.35 |  1.81718 |    0.00621
         21.31 |  1.81520 |    0.00661
         22.27 |  1.81577 |    0.00695
         23.23 |  1.81211 |    0.00698
         24.19 |  1.81131 |    0.00703
         25.15 |  1.81337 |    0.00640
         26.11 |  1.81351 |    0.00595
         27.07 |  1.81366 |    0.00558
         28.03 |  1.81394 |    0.00599
         28.99 |  1.82003 |    0.00598
         29.95 |  1.81770 |    0.00581
         30.91 |  1.81867 |    0.00614
         31.87 |  1.81660 |    0.00619
         32.83 |  1.81911 |    0.00613
         33.79 |  1.81591 |    0.00609
         34.75 |  1.81402 |    0.00600
         35.71 |  1.81425 |    0.00605
         36.67 |  1.80976 |    0.00574
         37.63 |  1.80825 |    0.00568
         38.59 |  1.81024 |    0.00551
         39.55 |  1.81004 |    0.00566
         40.51 |  1.80736 |    0.00570
         41.46 |  1.81154 |    0.00584
         42.42 |  1.81534 |    0.00599
         43.38 |  1.81687 |    0.00623
         44.34 |  1.81207 |    0.00647
         45.30 |  1.81067 |    0.00634
         46.26 |  1.81079 |    0.00611
         47.22 |  1.81369 |    0.00643
         48.18 |  1.81494 |    0.00630
         49.14 |  1.81274 |    0.00613
         50.10 |  1.80908 |    0.00631
         51.06 |  1.80764 |    0.00608
         52.02 |  1.80322 |    0.00554
         52.98 |  1.80141 |    0.00543
         53.94 |  1.80014 |    0.00532
         54.90 |  1.79935 |    0.00532
         55.86 |  1.79849 |    0.00558
         56.82 |  1.79760 |    0.00528
         57.78 |  1.79560 |    0.00552
         58.74 |  1.79401 |    0.00596
         59.70 |  1.79278 |    0.00601
         60.66 |  1.79192 |    0.00581
         61.62 |  1.79101 |    0.00609
         62.58 |  1.78968 |    0.00573
         63.54 |  1.78825 |    0.00546
         64.49 |  1.78686 |    0.00556
         65.45 |  1.78384 |    0.00541
         66.41 |  1.78322 |    0.00528
         67.37 |  1.78109 |    0.00563
         68.33 |  1.77801 |    0.00492
         69.29 |  1.77369 |    0.00532
         70.25 |  1.77198 |    0.00543
         71.21 |  1.77376 |    0.00599
         72.17 |  1.77197 |    0.00600
         73.13 |  1.77179 |    0.00643
         74.09 |  1.77116 |    0.00658
         75.05 |  1.76781 |    0.00598
         76.01 |  1.76589 |    0.00583
         76.97 |  1.76864 |    0.00525
         77.93 |  1.76701 |    0.00518
         78.89 |  1.76791 |    0.00551
         79.85 |  1.77002 |    0.00555
         80.81 |  1.76793 |    0.00580
         81.77 |  1.76473 |    0.00596
         82.73 |  1.76281 |    0.00573
         83.69 |  1.76132 |    0.00567
         84.65 |  1.75995 |    0.00589
         85.61 |  1.75693 |    0.00591
         86.57 |  1.75611 |    0.00592
         87.53 |  1.75383 |    0.00590
         88.48 |  1.75501 |    0.00572
         89.44 |  1.75211 |    0.00625
         90.40 |  1.74918 |    0.00634
         91.36 |  1.74629 |    0.00643
         92.32 |  1.74688 |    0.00663
         93.28 |  1.74337 |    0.00663
         94.24 |  1.73984 |    0.00642
         95.20 |  1.73573 |    0.00630
         96.16 |  1.73452 |    0.00611
         97.12 |  1.73512 |    0.00604
         98.08 |  1.73166 |    0.00587
         99.04 |  1.72998 |    0.00592
        100.00 |  1.72689 |    0.00584

### Refined Search Data (local refinement) ###
Enrichment (%) | TBR Mean | TBR Std Dev
         10.00 |  1.81150 |    0.00631
         11.00 |  1.81438 |    0.00658
         12.00 |  1.81119 |    0.00682
         13.00 |  1.81594 |    0.00687
         14.00 |  1.82109 |    0.00743
         15.00 |  1.81776 |    0.00630
         16.00 |  1.82016 |    0.00614
         17.00 |  1.81795 |    0.00680
         18.00 |  1.81639 |    0.00665
         19.00 |  1.81283 |    0.00648

### TBR Summary Statistics:
Maximum TBR for LiPb: 1.82109
Optimal lithium enrichment: 14.00 %

Mean TBR: 1.79279
Median TBR: 1.80750
